,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
8054,INV-16675900072,12/31/2018,2558,Hy-Vee Food Store / Mount Pleasant,1700 E Washington,Mount Pleasant,52641,POINT (-91.52888 40.962331000000006),44.0,HENRY,1011200.0,Straight Bourbon Whiskies,65,Jim Beam Brands,19486,Makers 46,6,750,20.99,31.49,6,188.94,4.5,1.18
8055,INV-16617900110,12/28/2018,5524,East Side Liquor & Grocery,1116 E Nevada St,Marshalltown,50158,POINT (-92.893113 42.044345),64.0,MARSHALL,1012100.0,Canadian Whiskies,260,DIAGEO AMERICAS,11296,Crown Royal,12,750,15.59,23.39,3,70.17,2.25,0.59
8056,INV-16675900077,12/31/2018,2558,Hy-Vee Food Store / Mount Pleasant,1700 E Washington,Mount Pleasant,52641,POINT (-91.52888 40.962331000000006),44.0,HENRY,1012100.0,Canadian Whiskies,260,DIAGEO AMERICAS,10781,Crown Royal Bourbon Mash,12,750,15.59,23.39,12,280.68,9.0,2.37
8057,INV-16600800212,12/27/2018,3869,Bootleggin' Barzini's Fin,412  1st Ave,Coralville,52241,POINT (-91.565517 41.672672),52.0,JOHNSON,1032200.0,Imported Flavored Vodka,370,PERNOD RICARD USA,34036,Absolut Pears,12,750,11.49,17.24,1,17.24,0.75,0.19
8058,INV-16678200012,01/02/2019,4596,Quik Trip #534 / E University DM,2945 E University,Des Moines,50317,POINT (-93.558972 41.600468),77.0,POLK,1052100.0,Imported Brandies,420,MOET HENNESSY USA,48099,Hennessy VS,24,200,6.24,9.36,6,56.16,1.2,0.31
8059,INV-16595300072,12/27/2018,3952,Lot-A-Spirits,3780 State St,Bettendorf,52722,POINT (-90.48065 41.529655),82.0,SCOTT,1011100.0,Blended Whiskies,65,Jim Beam Brands,24457,Kessler Blend Whiskey,12,1000,7.17,10.76,12,129.12,12.0,3.17
8060,INV-16603600039,12/27/2018,5661,Uptown Liquor & Tobacco / Cedar Rapids,2000 Wiley Blvd SW STE 106,Cedar Rapids,52404,POINT (-91.725777 41.959614),57.0,LINN,1081600.0,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64870,Fireball Cinnamon,48,100,0.9,1.35,48,64.8,4.8,1.26
8061,INV-16642900051,12/31/2018,5651,Super Quick Mart / Windsor Heights,7690 Hickman Rd,Windsor Heights,50324,POINT (-93.72238 41.614669),77.0,Polk,1012300.0,Single Malt Scotch,266,Edrington Group USA LLC,5555,The Macallan Double Cask 12YR,12,750,32.49,48.74,1,48.74,0.75,0.19
8062,INV-16616500031,12/28/2018,3719,Wal-Mart 0581 / Marshalltown,2802 S Center St,Marshalltown,50158,POINT (-92.91231 42.012918),64.0,MARSHALL,1032200.0,Imported Flavored Vodka,370,PERNOD RICARD USA,33467,Absolut Lime,12,750,11.49,17.24,12,206.88,9.0,2.37
8063,INV-16597100042,12/27/2018,2603,Hy-Vee Wine and Spirits / Bettendorf,2890 Devils Glen Road,Bettendorf,52722,POINT (-90.483701 41.552338),82.0,SCOTT,1081600.0,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64868,Fireball Cinnamon Whiskey,6,1750,15.33,23.0,6,138.0,10.5,2.77
8064,INV-16778400004,01/07/2019,4448,Kum & Go #572 / URBANDALE,4860 NW Urbandale Dr,Urbandale,50322,POINT (-93.769429 41.646391),77.0,POLK,1031100.0,American Vodkas,434,LUXCO INC,36306,Hawkeye Vodka,12,750,3.34,5.01,4,20.04,3.0,0.79
8065,INV-16677400006,01/02/2019,4377,Quik Trip #562 / NE 14th / DSM,4801 NE 14th St,Des Moines,50313,POINT (-93.600266 41.648602),77.0,POLK,1012100.0,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11776,Black Velvet,12,750,5.23,7.85,12,94.2,9.0,2.37
8066,INV-16683800055,01/02/2019,5460,Smokin Joe's # 6 Tobacco and Liquor Outlet,2411 2nd St Ste 4,Coralville,52241,POINT (-91.599549 41.68363),52.0,JOHNSON,1022100.0,Mixto Tequila,395,PROXIMO,89199,Jose Cuervo Especial Reposado Square,12,375,5.5,8.25,3,24.75,1.12,0.29
8067,INV-16701700026,01/02/2019,3695,Mrs. B's Liquor,623 S Marion St,Remsen,51050,POINT (-95.977022 42.808951),75.0,PLYMOUTH,1032100.0,Imported Vodkas,370,PERNOD RICARD USA,34006,Absolut Swedish Vodka 80prf,12,750,11.49,17.24,3,51.72,2.25,0.59
8068,INV-16789500061,01/07/2019,2662,Hy-Vee Wine & Spirits / Muscatine,"522 Mulberry, Suite A",Muscatine,52761,POINT (-91.04437 41.426615),70.0,MUSCATINE,1062500.0,Flavored Rum,35,BACARDI USA INC,43137,Bacardi Limon,12,1000,9.5,14.25,12,171.0,12.0,3.17
8069,INV-16775100008,01/07/2019,2538,Hy-Vee Food Store #3 / Waterloo,1422 Flammang Dr,Waterloo,50702,POINT (-92.327917 42.459938),7.0,BLACK HAWK,1082000.0,Imported Cordials & Liqueurs,55,SAZERAC NORTH AMERICA,64601,Caravella Limoncello,6,750,11.25,16.88,24,405.12,18.0,4.75
8070,INV-16689600045,01/02/2019,2666,Hy-Vee Food Store #2 / State Ankeny,2510 SW State St,Ankeny,50023,POINT (-93.621824 41.705188),77.0,Polk,1011500.0,Bottled in Bond Bourbon,461,Skyy Spirits Inc,22199,Wild Turkey Rare Breed,6,750,25.0,37.5,6,225.0,4.5,1.18
8071,INV-16742600097,01/04/2019,2627,Hy-Vee Wine & Spirits #1 / MLK,3330 Martin Luther King Jr Pkwy,Des Moines,50310,POINT (-93.65078800000002 41.625924),77.0,POLK,1081300.0,American Cordials & Liqueur,322,Prestige Wine & Spirits Group,75210,Kinky Pink,6,750,10.0,15.0,3,45.0,2.25,0.59
