,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
1699,S30294400032,01/25/2016,5078,Casey's General Store #2096 / Counci,2301 S 24TH ST,COUNCIL BLUFFS,51501,POINT (-95.879335 41.238763),78.0,Pottawattamie,1062310.0,SPICED RUM,259,Heaven Hill Brands,43026,Admiral Nelson Spiced Rum,12,750,5.78,8.67,8,69.36,6.0,1.59
1700,S30321800019,01/21/2016,2612,Hy-Vee Store / Perry,1215  141 ST,PERRY,50220,POINT (-94.104501 41.830292),25.0,Dallas,1031080.0,VODKA 80 PROOF,55,Sazerac North America,37936,Skol Vodka,12,750,3.64,5.46,3,16.38,2.25,0.59
1701,S30162100107,01/12/2016,2666,Hy-Vee #2 / Ankeny,2510 SW STATE ST,ANKENY,50023,POINT (-93.621824 41.705188),77.0,Polk,1031200.0,VODKA FLAVORED,380,Phillips Beverage Company,41604,Uv Grape Vodka,12,750,6.5,9.75,12,117.0,9.0,2.38
1702,S30185900011,01/13/2016,2627,Hy-Vee Wine and Spirits #1,3424 MARTIN LUTHER KING JR PKW,DES MOINES,50310,POINT (-93.65129 41.626668),77.0,Polk,1062310.0,SPICED RUM,259,Heaven Hill Brands,43026,Admiral Nelson Spiced Rum,12,750,5.78,8.67,12,104.04,9.0,2.38
1703,S30366900014,01/26/2016,4573,Casey's General Store #1330 / Hambur,1211 WASHINGTON ST,HAMBURG,51640,POINT (-95.654604 40.605217),36.0,Fremont,1031200.0,VODKA FLAVORED,380,Phillips Beverage Company,41688,Uv Blue Raspberry Vodka Traveller,12,750,6.5,9.75,12,117.0,9.0,2.38
1704,S30330300015,01/26/2016,4310,Fareway Stores #502 / Cherokee,205 WEST BLUFF ST,CHEROKEE,51012,POINT (-95.551866 42.75508),18.0,Cherokee,1031080.0,VODKA 80 PROOF,380,Phillips Beverage Company,37356,Phillips Vodka Ez Pack,12,750,3.57,5.36,2,10.72,1.5,0.4
1705,S30315000017,01/21/2016,3731,Wal-Mart 1241 / Davenport,5811 ELMORE AVE,DAVENPORT,52807,POINT (-90.525525 41.580212),82.0,Scott,1031080.0,VODKA 80 PROOF,380,Phillips Beverage Company,37348,Phillips Vodka,6,1750,7.6,11.4,6,68.4,10.5,2.77
1706,S29977600010,01/04/2016,4746,Walgreens #05885 / Muscatine,1703 PARK AVE,MUSCATINE,52761,POINT (-91.030382 41.44464),70.0,Muscatine,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43128,Bacardi Superior Rum,6,1750,15.0,22.5,6,135.0,10.5,2.77
1707,S30009900072,01/04/2016,3773,Benz Distributing,501 7TH AVE SE,CEDAR RAPIDS,52401,POINT (-91.659875 41.97574),57.0,Linn,1062100.0,JAMAICA RUM,260,Diageo Americas,42167,Myers's Rum Original Dark,12,1000,12.5,18.75,3,56.25,3.0,0.79
1708,S30267800012,01/19/2016,3621,"Jensen Liquors, Ltd.",615  2ND AVE,SHELDON,51201,POINT (-95.854899 43.184242),71.0,O'Brien,1031200.0,VODKA FLAVORED,380,Phillips Beverage Company,41692,Uv Blue (raspberry) Vodka,6,1750,10.99,16.49,1,16.49,1.75,0.46
1709,S30302800013,01/20/2016,4852,Kum & Go #520 / Cedar Rapids,2604 16th AVE,CEDAR RAPIDS,52404,POINT (-91.707034 41.963064),57.0,Linn,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45276,Paramount White Rum,12,750,4.0,6.0,12,72.0,9.0,2.38
1710,S30445900027,01/28/2016,2612,Hy-Vee Store / Perry,1215  141 ST,PERRY,50220,POINT (-94.104501 41.830292),25.0,Dallas,1031200.0,VODKA FLAVORED,380,Phillips Beverage Company,41692,Uv Blue (raspberry) Vodka,6,1750,10.99,16.49,3,49.47,5.25,1.39
1711,S30431800009,01/28/2016,4613,Sparky's One Stop / Carroll,402 E 6th ST,CARROLL,51401,POINT (-94.862532 42.064428),14.0,Carroll,1031200.0,VODKA FLAVORED,380,Phillips Beverage Company,40403,UV Peach,12,750,6.5,9.75,12,117.0,9.0,2.38
1712,S30218300043,01/15/2016,2506,Hy-Vee #1044 / Burlington,3140 AGENCY,BURLINGTON,52601,POINT (-91.136655 40.814666),29.0,Des Moines,1031200.0,VODKA FLAVORED,380,Phillips Beverage Company,41696,Uv Green (apple) Vodka,12,750,6.5,9.75,6,58.5,4.5,1.19
1713,S30090300002,01/07/2016,2663,Hy-Vee / Urbandale,8701 DOUGLAS,URBANDALE,50322,POINT (-93.739105 41.629364),77.0,Polk,1052010.0,IMPORTED GRAPE BRANDIES,420,"Moet Hennessy USA, Inc.",48106,Hennessy Vs Cognac,12,750,18.99,28.49,12,341.88,9.0,2.38
1714,S30226100012,01/15/2016,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,COUNCIL BLUFFS,51501,POINT (-95.8792 41.238092),78.0,Pottawattamie,1081200.0,CREAM LIQUEURS,260,Diageo Americas,68037,Bailey's Original Irish Cream,12,1000,17.25,25.88,12,310.56,12.0,3.17
1715,S30430000053,01/27/2016,3417,Big G Food Store,PO BOX 261  310 W DILLON,MARENGO,52301,,48.0,Iowa,1081230.0,WHITE CREME DE CACAO,434,Luxco-St Louis,78866,Paramount Creme De Cacao/white,12,750,4.75,7.13,2,14.26,1.5,0.4
1716,S30365600035,01/25/2016,4771,Cenex Gas Station,"502, E AVE NW",CEDAR RAPIDS,52402,POINT (-91.680323 41.977958),57.0,Linn,1081200.0,CREAM LIQUEURS,260,Diageo Americas,68034,Bailey's Original Irish Cream,12,375,7.0,10.5,5,52.5,1.88,0.5
1717,S30058900014,01/06/2016,2290,Al's Liquors Unlimited,215 WEST MILWAUKEE,STORM LAKE,50588,POINT (-95.202405 42.647492),11.0,Buena Vista,1052010.0,IMPORTED GRAPE BRANDIES,420,"Moet Hennessy USA, Inc.",48105,Hennessy VS,12,375,9.99,14.99,3,44.97,1.12,0.3
1718,S30217000007,01/19/2016,3477,Sam's Club 6472 / Council Bluffs,3221 MANAWA CENTRE DR,COUNCIL BLUFFS,51501,POINT (-95.847163 41.225208),78.0,Pottawattamie,1081030.0,COFFEE LIQUEURS,370,Pernod Ricard USA/Austin Nichols,67527,Kahlua Coffee Liqueur,12,1000,15.49,23.24,12,278.88,12.0,3.17
1719,S30152700086,01/12/2016,2651,Hy-Vee / Waverly,1311 4 STREET SW,WAVERLY,50677,POINT (-92.475403 42.712263),9.0,Bremer,1081300.0,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,81207,Paramount Peppermint Schnapps,12,1000,4.06,6.09,12,73.08,12.0,3.17
1720,S30174000064,01/13/2016,3820,"Charlie's Wine and Spirits,",507 W 19th St,SIOUX CITY,51103,POINT (-96.420193 42.510535),97.0,Woodbury,1071100.0,AMERICAN COCKTAILS,55,Sazerac North America,57144,Chi-Chi's White Russian,6,1750,6.0,9.25,2,18.5,3.5,0.92
1721,S30512000050,02/02/2016,2524,Hy-Vee Food Store / Dubuque,3500 DODGE ST,DUBUQUE,52001,,31.0,Dubuque,1031100.0,100 PROOF VODKA,55,Sazerac North America,37938,Skol Vodka,6,1750,7.11,10.67,6,64.02,10.5,2.77
1722,S30243900005,01/25/2016,4283,Guppys On The Go,680 LINDALE DR,MARION,52302,POINT (-91.621476 42.033645),57.0,Linn,1081200.0,CREAM LIQUEURS,305,MHW Ltd,73053,Rumchata,6,1000,16.34,24.51,6,147.06,6.0,1.59
1723,S30352600049,01/25/2016,2670,Hy-Vee Food Store / Coralville,2004 8TH  ST,CORALVILLE,52241,POINT (-91.591868 41.682337000000004),52.0,Johnson,1071100.0,AMERICAN COCKTAILS,55,Sazerac North America,57120,Chi-Chi's Long Island Iced Tea,6,1750,6.0,9.25,6,55.5,10.5,2.77
1724,S30169700066,01/13/2016,2594,Hy-Vee Food Store / Sioux City,4500 SERGEANT ROAD,SIOUX CITY,51106,POINT (-96.346969 42.447396),97.0,Woodbury,1032200.0,IMPORTED VODKA - MISC,260,Diageo Americas,64512,Ciroc Apple,12,750,18.49,27.74,12,332.88,9.0,2.38
1725,S30033000018,01/05/2016,4359,Kum & Go #75 / Waukee,350 SE UNIVERSITY AVE,WAUKEE,50263,POINT (-93.865479 41.600403),25.0,Dallas,1051010.0,AMERICAN GRAPE BRANDIES,205,E AND J GALLO WINERY,52579,E & J Vsop Superior Reserve Mini,12,500,5.92,8.88,1,8.88,0.5,0.13
1726,S30376700031,01/27/2016,4827,Sauce,108 E COLLEGE ST,IOWA CITY,52240,POINT (-91.533522 41.658979),52.0,Johnson,1051010.0,AMERICAN GRAPE BRANDIES,115,"Constellation Wine Company, Inc.",53214,Paul Masson Grande Amber Brandy,24,375,3.22,4.83,24,115.92,9.0,2.38
1727,S30325300006,01/25/2016,4605,Kum & Go #509 / Marion,1203 BLAIRS FERRY RD,MARION,52302,POINT (-91.624929 42.03243700000001),57.0,Linn,1081600.0,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64866,Fireball Cinnamon Whiskey,12,750,8.98,13.47,12,161.64,9.0,2.38
1728,S30310600124,01/21/2016,4988,Happy's Wine & Spirits,5925 UNIVERSITY AVE,CEDAR FALLS,50613,POINT (-92.429331 42.512766),7.0,Black Hawk,1051010.0,AMERICAN GRAPE BRANDIES,259,Heaven Hill Brands,52186,Christian Bros Grand Reserve Vsop,12,750,6.92,10.38,1,10.38,0.75,0.2
1729,S30125400023,01/11/2016,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240,POINT (-91.53046300000001 41.642764),52.0,Johnson,1081600.0,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16,6.0,1.59
1730,S30046600010,01/05/2016,4626,Kwik Shop #527 / Council Bluffs,"3632, AVENUE G",COUNCIL BLUFFS,51501,POINT (-95.90597 41.26363),78.0,Pottawattamie,1051010.0,AMERICAN GRAPE BRANDIES,115,"Constellation Wine Company, Inc.",53214,Paul Masson Grande Amber Brandy,24,375,3.22,4.83,6,28.98,2.25,0.59
1731,S30304600099,01/20/2016,2502,Hy-Vee Wine and Spirits / Ankeny,410 NORTH ANKENY BLVD,ANKENY,50021,,77.0,Polk,1062310.0,SPICED RUM,395,Proximo,46504,Kraken Black Spiced Rum,12,750,10.0,15.0,3,45.0,2.25,0.59
1732,S30110800035,01/11/2016,5198,Riverside Liquor,826 E RIVER DR,DAVENPORT,52803,POINT (-90.561741 41.524926),82.0,Scott,1081600.0,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64864,Fireball Cinnamon Whisky,24,375,5.33,8.0,2,16.0,0.75,0.2
1733,S30332800060,01/25/2016,2558,Hy-Vee Food Store / Mount Pleasant,1700 E WASHINGTON,MOUNT PLEASANT,52641,POINT (-91.52888 40.962331000000006),44.0,Henry,1052010.0,IMPORTED GRAPE BRANDIES,420,"Moet Hennessy USA, Inc.",48146,Hennessy Black,12,750,22.49,33.74,2,67.48,1.5,0.4
1734,S30401800093,01/27/2016,3818,Round Window Liquor,703 W PLEASANT ST,KNOXVILLE,50138,POINT (-93.10564100000002 41.320746),63.0,Marion,1081390.0,IMPORTED SCHNAPPS,260,Diageo Americas,69940,Rumple Minze Peppermint Mini,12,500,13.5,20.25,1,20.25,0.5,0.13
1735,S30043100010,01/06/2016,3789,Wal-Mart 1393 / Oskaloosa,2203 A AVENUE WEST,OSKALOOSA,52577,POINT (-92.669924 41.298516),62.0,Mahaska,1071100.0,AMERICAN COCKTAILS,395,Proximo,58872,Jose Cuervo Authentic Light Margarita Lime,6,1750,8.2,12.3,6,73.8,10.5,2.77
1736,S30418800002,01/27/2016,3980,Wal-Mart 1721 / Iowa City,919 HWY 1 WEST,IOWA CITY,52246,POINT (-91.552125 41.646646),52.0,Johnson,1051010.0,AMERICAN GRAPE BRANDIES,205,E AND J GALLO WINERY,52596,E & J Vs,12,750,5.92,8.88,12,106.56,9.0,2.38
1737,S30404500057,01/27/2016,2594,Hy-Vee Food Store / Sioux City,4500 SERGEANT ROAD,SIOUX CITY,51106,POINT (-96.346969 42.447396),97.0,Woodbury,1052010.0,IMPORTED GRAPE BRANDIES,65,Jim Beam Brands,47790,Courvoisier Vs Cognac,24,200,4.76,7.14,1,7.14,0.2,0.05
1738,S30058900057,01/06/2016,2290,Al's Liquors Unlimited,215 WEST MILWAUKEE,STORM LAKE,50588,POINT (-95.202405 42.647492),11.0,Buena Vista,1081390.0,IMPORTED SCHNAPPS,421,"Sazerac Co., Inc.",69637,Dr. Mcgillicuddy's Cherry Schnapps,12,1000,11.0,16.5,12,198.0,12.0,3.17
1739,S30331100023,01/25/2016,2555,Hy-Vee Food Store / Keokuk,3111 MAIN,KEOKUK,52632,POINT (-91.403752 40.41538),56.0,Lee,1071100.0,AMERICAN COCKTAILS,55,Sazerac North America,57129,Chi-Chi's Mexican Mudslide,6,1750,6.0,9.25,6,55.5,10.5,2.77
1740,S30031000011,01/05/2016,4285,Fareway Stores #922 / New Hampton,102 S WATER AVE,NEW HAMPTON,50659,POINT (-92.312904 43.058019),19.0,Chickasaw,1022100.0,TEQUILA,395,Proximo,89196,Jose Cuervo Especial Reposado Tequila,12,750,10.49,15.74,6,94.44,4.5,1.19
1741,S30050000012,01/06/2016,4670,Guppy's On The Go / Tripoli,"600, 7TH AVE SW",TRIPOLI,50676,POINT (-92.264269 42.802374),9.0,Bremer,1081315.0,CINNAMON SCHNAPPS,65,Jim Beam Brands,82610,Dekuyper Hot Damn!,12,1000,7.62,11.43,2,22.86,2.0,0.53
1742,S30503500007,02/02/2016,2578,Hy-Vee / Charles City,901 KELLY ST,CHARLES CITY,50616,POINT (-92.67556000000002 43.066993),34.0,Floyd,1062300.0,FLAVORED RUM,370,Pernod Ricard USA/Austin Nichols,42718,Malibu Coconut Rum,6,1750,16.49,24.74,6,148.44,10.5,2.77
1743,S30519200026,02/02/2016,4344,Spirits / Grimes,109 EAST 1ST ST STE B,GRIMES,50111,POINT (-93.793827 41.68840000000001),77.0,Polk,1032080.0,IMPORTED VODKA,65,Jim Beam Brands,34578,Pinnacle Vodka,6,1750,12.59,18.89,1,18.89,1.75,0.46
1744,S30215700006,01/15/2016,4222,Station Mart Liquor and Tobbacco,3594 LAFAYETTE ST,EVANSDALE,50707,,7.0,Black Hawk,1081300.0,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,80578,Arrow Peppermint Schnapps,6,1750,7.05,10.58,6,63.48,10.5,2.77
1745,S30519200128,02/02/2016,4344,Spirits / Grimes,109 EAST 1ST ST STE B,GRIMES,50111,POINT (-93.793827 41.68840000000001),77.0,Polk,1012100.0,CANADIAN WHISKIES,260,Diageo Americas,11290,Crown Royal Canadian Whisky Mini,10,300,7.35,11.03,1,11.03,0.3,0.08
1746,S30513700018,02/02/2016,2604,Hy-Vee Wine and Spirits / Lemars,1201 12TH AVE SW,LEMARS,51031,POINT (-96.18335000000002 42.778257),75.0,Plymouth,1012100.0,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11786,Black Velvet Traveler,12,750,5.23,7.85,12,94.2,9.0,2.38
1747,S30335900016,01/25/2016,3525,Wines and Spirits,106 W 2ND ST,WASHINGTON,52353,POINT (-91.692214 41.300399),92.0,Washington,1022100.0,TEQUILA,434,Luxco-St Louis,87937,Juarez Tequila Silver,12,1000,6.92,10.38,12,124.56,12.0,3.17
1748,S30535900004,02/03/2016,3980,Wal-Mart 1721 / Iowa City,919 HWY 1 WEST,IOWA CITY,52246,POINT (-91.552125 41.646646),52.0,Johnson,1081300.0,PEPPERMINT SCHNAPPS,322,Prestige Wine and Spirits Group,75211,Kinky Liqueur,12,750,10.0,15.0,12,180.0,9.0,2.38
1749,S30509300001,02/02/2016,5140,A to Z Liquor,"114, S  2ND  ST",CHEROKEE,51012,POINT (-95.55132 42.749013),18.0,Cherokee,1022100.0,TEQUILA,395,Proximo,89191,Jose Cuervo Especial Reposado Tequila Mini,12,500,11.5,17.25,12,207.0,6.0,1.59
1750,S30086900045,01/07/2016,2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,POINT (-93.235588 43.148451),17.0,Cerro Gordo,1022100.0,TEQUILA,421,"Sazerac Co., Inc.",88767,Tortilla White Tequila,12,1000,6.64,9.96,48,478.08,48.0,12.68
1751,S30514800013,02/02/2016,3813,CGI Foods,104 NORTH FILLMORE,MOUNT AYR,50854,POINT (-94.238806 40.714826),80.0,Ringgold,1012100.0,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",10550,Black Velvet Toasted Caramel,12,750,6.75,10.13,3,30.39,2.25,0.59
1752,S30472800023,02/01/2016,2555,Hy-Vee Food Store / Keokuk,3111 MAIN,KEOKUK,52632,POINT (-91.403752 40.41538),56.0,Lee,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43128,Bacardi Superior Rum,6,1750,15.0,22.5,6,135.0,10.5,2.77
1753,S30483100006,02/01/2016,3908,County Market #214 / Fort Madison,11802 AVENUE H,FORT MADISON,52627,,56.0,Lee,1011200.0,STRAIGHT BOURBON WHISKIES,55,Sazerac North America,21596,Ten High,12,750,4.1,6.15,12,73.8,9.0,2.38
1754,S30511100055,02/02/2016,2556,Hy-Vee Wine and Spirits / Esthervill,2608 E. CENTRAL AVENUE,ESTHERVILLE,51334,,32.0,Emmet,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43120,Bacardi Superior PET,6,1750,15.0,22.5,6,135.0,10.5,2.77
1755,S30225800134,01/15/2016,2538,Hy-Vee Food Store #3 / Waterloo,1422 FLAMMANG DR,WATERLOO,50702,POINT (-92.327917 42.459938),7.0,Black Hawk,1022100.0,TEQUILA,395,Proximo,89193,Jose Cuervo Especial Reposado Tequila,48,200,3.0,4.5,1,4.5,0.2,0.05
1756,S30508600002,02/01/2016,2535,Hy-Vee Food Store #1 / WDM,1700 VALLEY WEST DR,WEST DES MOINES,50265,,77.0,Polk,1032200.0,IMPORTED VODKA - MISC,395,Proximo,36384,Three Olives Strawberry,12,750,9.96,14.94,12,179.28,9.0,2.38
1757,S30475500082,02/01/2016,2191,Keokuk Spirits,1013 MAIN,KEOKUK,52632,POINT (-91.387797 40.400038),56.0,Lee,1041100.0,AMERICAN DRY GINS,55,Sazerac North America,30057,Fleischmann's Dry Gin,12,1000,4.0,6.0,2,12.0,2.0,0.53
1758,S30473700086,02/01/2016,2569,Hy-Vee Food Store #2 / Cedar Rapids,279 COLLINS ROAD NE,CEDAR RAPIDS,52402,POINT (-91.630677 42.027805),57.0,Linn,1071100.0,AMERICAN COCKTAILS,395,Proximo,58838,Jose Cuervo Authentic Lime Margarita,6,1750,8.2,12.3,6,73.8,10.5,2.77
1759,S30273100070,01/20/2016,3417,Big G Food Store,PO BOX 261  310 W DILLON,MARENGO,52301,,48.0,Iowa,1081317.0,GRAPE SCHNAPPS,65,Jim Beam Brands,82637,Dekuyper Grape Pucker,12,1000,7.62,11.43,3,34.29,3.0,0.79
1760,S30001600051,01/04/2016,2601,Hy-Vee Food Store / Fairfield,1300 WEST BURLINGTON AVE,FAIRFIELD,52556,POINT (-91.978702 41.006456),51.0,Jefferson,1081300.0,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,81208,Paramount Peppermint Schnapps,6,1750,7.08,10.62,12,127.44,21.0,5.55
1761,S30534500117,02/02/2016,2619,Hy-Vee Wine and Spirits / WDM,1725  74TH ST,WEST DES MOINES,50266,POINT (-93.808855 41.598515),77.0,Polk,1081010.0,AMERICAN AMARETTO,434,Luxco-St Louis,76488,Paramount Amaretto,6,1750,8.07,12.11,6,72.66,10.5,2.77
1762,S30479200017,02/01/2016,3899,Wal-Mart 3762 / WDM,6365 STAGECOACH DR,WEST DES MOINES,50266,POINT (-93.795512 41.558107),77.0,Polk,1081390.0,IMPORTED SCHNAPPS,260,Diageo Americas,69946,Rumple Minze Peppermint Schnapps Liqueur,12,750,13.0,19.5,12,234.0,9.0,2.38
1763,S30519100029,02/02/2016,4291,Fareway Stores #597 / Creston,105 E ADAMS ST,CRESTON,50801,POINT (-94.237509 40.715722),88.0,Union,1081030.0,COFFEE LIQUEURS,65,Jim Beam Brands,67556,Kamora Coffee Liqueur,12,750,6.3,9.45,5,47.25,3.75,0.99
1764,S30508200043,02/01/2016,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,POINT (-91.658105 42.010971),57.0,Linn,1031080.0,VODKA 80 PROOF,260,Diageo Americas,37991,Smirnoff Vodka 80 Prf Mini,12,500,7.47,11.21,1,11.21,0.5,0.13
1765,S30255800057,01/19/2016,2522,Hy-Vee Wine and Spirits / Spirit Lak,HWY 9 & 71,SPIRIT LAKE,51360,,30.0,Dickinson,1081300.0,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,81208,Paramount Peppermint Schnapps,6,1750,7.08,10.62,6,63.72,10.5,2.77
1766,S30635900034,02/09/2016,2624,Hy-Vee #2 / Dubuque,2395 NW ARTERIAL RD,DUBUQUE,52002,POINT (-90.741064 42.516633),31.0,Dubuque,1031080.0,VODKA 80 PROOF,380,Phillips Beverage Company,37338,UV Vodka PET,6,1750,10.99,16.49,6,98.94,10.5,2.77
1767,S30602300004,02/08/2016,4993,Site Food Mart,"1301, MAIN ST",KEOKUK,52632,POINT (-91.390084 40.402244),56.0,Lee,1062310.0,SPICED RUM,260,Diageo Americas,43336,Captain Morgan Original Spiced,12,750,9.0,13.5,12,162.0,9.0,2.38
1768,S30551300014,02/03/2016,4197,Fareway Stores #014 / Sergeant Bluff,700  1ST ST,SERGEANT BLUFF,51054,POINT (-96.353078 42.400504),97.0,Woodbury,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15626,Jameson,12,750,14.99,22.49,3,67.47,2.25,0.59
1769,S30637600134,02/09/2016,3495,Great Pastimes,228 N MAIN ST,MONTICELLO,52310,POINT (-91.183413 42.24013200000001),53.0,Jones,1032080.0,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34004,Absolut Swedish Vodka 80 Prf,24,375,6.49,9.74,1,9.74,0.38,0.1
1770,S30546500010,02/04/2016,4694,Rina Mart LLC / Davenport,"3815, WEST KIMBERLY RD",DAVENPORT,52806,POINT (-90.631357 41.561712),82.0,Scott,1011100.0,BLENDED WHISKIES,65,Jim Beam Brands,24458,Kessler Blend Whiskey,6,1750,11.02,16.53,6,99.18,10.5,2.77
1771,S30598100042,02/08/2016,3628,Wal-Mart 1528 / Cedar Rapids,2645 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.680734 42.034748),57.0,Linn,1081600.0,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64868,Fireball Cinnamon Whiskey,6,1750,15.33,23.0,6,138.0,10.5,2.77
1772,S30653400074,02/09/2016,2509,Hy-Vee / Drugtown #1 / Cedar Rapids,1520 6TH ST SW,CEDAR RAPIDS,52404,POINT (-91.67706 41.962419),57.0,Linn,1081600.0,WHISKEY LIQUEUR,85,Brown-Forman Corporation,86884,Southern Comfort,24,375,4.78,7.17,24,172.08,9.0,2.38
1773,S30612700006,02/08/2016,4148,Fareway Stores #479 / Independence,1400 3RD AVE SE,INDEPENDENCE,50644,POINT (-91.890284 42.455804),10.0,Buchanan,1011200.0,STRAIGHT BOURBON WHISKIES,55,Sazerac North America,21598,Ten High,6,1750,8.74,13.36,6,80.16,10.5,2.77
1774,S30635300018,02/09/2016,3514,Karen's Spirits and Wine,328  2ND AVE S,FORT DODGE,50501,POINT (-94.192501 42.502311),94.0,Webster,1012100.0,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11777,Black Velvet,12,1000,6.63,9.95,24,238.8,24.0,6.34
1775,S30547900007,02/03/2016,5224,Keystone Liquor & Wine / Coralville,517 2nd ST,CORALVILLE,52241,POINT (-91.574095 41.671543),,,1012100.0,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11774,Black Velvet,24,375,3.07,4.61,24,110.64,9.0,2.38
1776,S30631100041,02/09/2016,2413,Beecher Beverage,1691 ASBURY ROAD,DUBUQUE,52001,POINT (-90.696886 42.500775000000004),31.0,Dubuque,1051110.0,BLACKBERRY BRANDIES,380,Phillips Beverage Company,55106,Phillips Blackberry Flav Brandy,12,750,4.76,7.14,12,85.68,9.0,2.38
1777,S30656300002,02/09/2016,4247,Fareway Stores #879 / Belmond,512 River Ave N,BELMOND,50421,POINT (-93.616788 42.850357),,,1081390.0,IMPORTED SCHNAPPS,421,"Sazerac Co., Inc.",69638,Dr. Mcgillicuddy's Cherry Schnapps,6,1750,14.66,21.99,1,21.99,1.75,0.46
1778,S30557700117,02/03/2016,2637,Hy-Vee #5 / Davenport,2351 W LOCUST,DAVENPORT,52804,POINT (-90.611972 41.538207),82.0,Scott,1031080.0,VODKA 80 PROOF,260,Diageo Americas,37991,Smirnoff Vodka 80 Prf Mini,12,500,7.47,11.21,1,11.21,0.5,0.13
1779,S30616500081,02/08/2016,3952,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,POINT (-90.48065 41.529655),82.0,Scott,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15627,Jameson,12,1000,18.49,27.74,36,998.64,36.0,9.51
1780,S30539300023,02/02/2016,4247,Fareway Stores #879 / Belmond,512 River Ave N,BELMOND,50421,POINT (-93.616788 42.850357),,,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15626,Jameson,12,750,14.99,22.49,1,22.49,0.75,0.2
1781,S30637500047,02/09/2016,2619,Hy-Vee Wine and Spirits / WDM,1725  74TH ST,WEST DES MOINES,50266,POINT (-93.808855 41.598515),77.0,Polk,1081380.0,MISCELLANEOUS SCHNAPPS,55,Sazerac North America,84172,99 Bananas Mini,10,600,5.94,8.91,3,26.73,1.8,0.48
1782,S30565200014,02/03/2016,4509,A J'S LIQUOR II,2515 CHAMBERLAIN,AMES,50010,POINT (-93.650838 42.021461),85.0,Story,1011100.0,BLENDED WHISKIES,260,Diageo Americas,25607,Seagrams 7 Crown Bl Whiskey,12,1000,8.0,12.0,12,144.0,12.0,3.17
1783,S30593600027,02/08/2016,5091,Kum & Go #436 / Muscatine,501 CEDAR ST,MUSCATINE,52761,POINT (-91.04614600000001 41.425095),70.0,Muscatine,1031200.0,VODKA FLAVORED,380,Phillips Beverage Company,41693,Uv Blue (raspberry) Vodka,12,750,6.5,9.75,2,19.5,1.5,0.4
1784,S30607700021,02/08/2016,3740,Hometown Foods / Waterloo,1010 E MITCHELL AVE,WATERLOO,50702,POINT (-92.343118 42.476639),7.0,Black Hawk,1012100.0,CANADIAN WHISKIES,260,Diageo Americas,11297,Crown Royal Canadian Whisky,12,1000,18.75,28.13,12,337.56,12.0,3.17
1785,S30649300165,02/09/2016,2629,Hy-Vee Food Store #2 / Council Bluff,1745 MADISON AVE,COUNCIL BLUFFS,51503,POINT (-95.825137 41.242732),78.0,Pottawattamie,1052100.0,,420,"Moet Hennessy USA, Inc.",48106,Hennessy Vs Cognac,12,750,18.99,28.49,2,56.98,1.5,0.4
