County,Year,White Estimate,White ME,Black Estimate,Black ME,Native American Estimate,Native American ME,Asian Estimate,Asian ME,Pacific Estimate,Pacific ME,Other Estimate,Other ME,Two+ Estimate,Two+ ME
O'Brien,2011-2015,"13,359",73,72,36,29,24,119,19,2,5,337,108,174,86
Osceola,2016-2020,"5,608",83,55,27,13,11,26,22,3,4,96,67,215,80
Osceola,2011-2015,"5,933",107,25,9,22,21,16,23,0,13,165,107,50,27
Page,2016-2020,"14,189",99,340,107,52,31,160,19,26,30,51,68,387,116
Page,2011-2015,"14,804",35,331,137,61,38,183,20,0,15,27,28,254,136
Palo Alto,2016-2020,"8,439",105,134,75,32,42,13,14,0,14,31,29,292,116
Palo Alto,2011-2015,"8,950",37,116,63,8,9,37,36,0,13,10,15,87,52
Plymouth,2016-2020,"23,761",221,383,69,135,39,171,55,0,18,470,231,221,115
Plymouth,2011-2015,"24,060",188,126,74,26,42,85,39,75,98,237,186,244,115
Pocahontas,2016-2020,"6,455",36,28,34,11,21,54,62,32,45,43,33,102,66
Pocahontas,2011-2015,"6,878",48,97,40,4,7,9,9,8,10,41,35,90,41
Polk,2016-2020,"400,882","1,384","33,808","1,084","1,180",271,"23,235",598,417,88,"8,538","1,089","17,358","1,412"
Polk,2011-2015,"386,251","1,341","28,241",776,"1,203",453,"17,835",456,307,56,"6,814","1,108","11,718","1,112"
Pottawattamie,2016-2020,"86,673",563,"1,561",246,365,117,723,228,11,20,"1,564",519,"2,581",465
Pottawattamie,2011-2015,"88,038",383,"1,200",186,291,105,574,148,6,9,"1,160",358,"1,944",273
Poweshiek,2016-2020,"17,162",97,245,86,2,6,423,34,0,16,100,60,459,112
Poweshiek,2011-2015,"17,738",61,217,40,24,24,391,84,21,29,47,46,267,95
Ringgold,2016-2020,"4,708",36,5,9,10,11,38,33,0,10,99,36,62,30
Ringgold,2011-2015,"4,949",27,12,11,28,21,24,17,0,13,1,2,47,31
Sac,2016-2020,"9,452",47,70,58,0,14,38,34,0,14,53,46,98,46
Sac,2011-2015,"9,889",30,71,37,2,4,0,15,3,5,32,27,104,37
Scott,2016-2020,"145,722",546,"12,765",689,505,158,"4,827",252,21,25,"1,509",425,"7,589",845
Scott,2011-2015,"146,516",552,"13,115",560,434,143,"3,892",220,16,19,"1,679",419,"4,342",736
Shelby,2016-2020,"11,094",61,115,76,20,31,37,68,0,16,131,57,147,86
Shelby,2011-2015,"11,521",61,23,15,13,15,58,14,0,15,203,84,174,45
Sioux,2016-2020,"32,621",315,143,49,92,82,206,82,16,18,787,287,"1,035",264
Sioux,2011-2015,"31,934",355,150,34,86,41,254,49,6,11,"1,701",369,378,96
Story,2016-2020,"82,952",470,"2,119",311,145,41,"7,825",278,0,23,"1,106",298,"3,208",547
Story,2011-2015,"82,374",160,"2,274",248,173,112,"6,132",361,31,36,317,87,"2,285",442
Tama,2016-2020,"14,720",157,106,42,"1,354",103,57,46,6,15,130,94,589,85
Tama,2011-2015,"15,501",165,89,28,"1,273",75,46,25,5,7,225,123,340,84
Taylor,2016-2020,"5,808",71,1,2,9,12,9,13,0,14,155,77,178,65
Taylor,2011-2015,"5,957",107,13,9,18,15,38,16,0,13,108,104,79,51
Union,2016-2020,"11,779",71,21,32,0,16,204,86,8,16,116,70,175,75
Union,2011-2015,"12,244",28,124,85,51,34,42,34,14,28,1,2,99,66
