County,Income,Families,Families ME,Year
Dallas,"$30,000 to $34,999",513,144,2016-2020
Dallas,"$35,000 to $39,999",285,117,2016-2020
Dallas,"$40,000 to $44,999",814,240,2016-2020
Dallas,"$45,000 to $49,999",557,202,2016-2020
Dallas,"$50,000 to $59,999","1,462",256,2016-2020
Dallas,"$60,000 to $74,999","1,859",322,2016-2020
Dallas,"$75,000 to $99,999","3,258",423,2016-2020
Dallas,"$100,000 to $124,999","2,674",297,2016-2020
Dallas,"$125,000 to $149,999","3,208",447,2016-2020
Dallas,"$150,000 to $199,999","3,470",431,2016-2020
Dallas,"$200,000 or more","3,950",417,2016-2020
Davis,"Less than $10,000",48,43,2016-2020
Davis,"$10,000 to $14,999",47,35,2016-2020
Davis,"$15,000 to $19,999",74,46,2016-2020
Davis,"$20,000 to $24,999",35,27,2016-2020
Davis,"$25,000 to $29,999",22,27,2016-2020
Davis,"$30,000 to $34,999",65,34,2016-2020
Davis,"$35,000 to $39,999",59,34,2016-2020
Davis,"$40,000 to $44,999",108,63,2016-2020
Davis,"$45,000 to $49,999",110,60,2016-2020
Davis,"$50,000 to $59,999",253,71,2016-2020
Davis,"$60,000 to $74,999",219,76,2016-2020
Davis,"$75,000 to $99,999",490,121,2016-2020
Davis,"$100,000 to $124,999",351,80,2016-2020
Davis,"$125,000 to $149,999",222,83,2016-2020
Davis,"$150,000 to $199,999",158,57,2016-2020
Davis,"$200,000 or more",138,74,2016-2020
Decatur,"Less than $10,000",114,50,2016-2020
Decatur,"$10,000 to $14,999",46,31,2016-2020
Decatur,"$15,000 to $19,999",106,54,2016-2020
Decatur,"$20,000 to $24,999",58,35,2016-2020
Decatur,"$25,000 to $29,999",57,25,2016-2020
Decatur,"$30,000 to $34,999",102,54,2016-2020
Decatur,"$35,000 to $39,999",156,59,2016-2020
Decatur,"$40,000 to $44,999",129,41,2016-2020
Decatur,"$45,000 to $49,999",116,47,2016-2020
Decatur,"$50,000 to $59,999",169,47,2016-2020
Decatur,"$60,000 to $74,999",329,80,2016-2020
Decatur,"$75,000 to $99,999",243,64,2016-2020
Decatur,"$100,000 to $124,999",193,63,2016-2020
Decatur,"$125,000 to $149,999",78,35,2016-2020
Decatur,"$150,000 to $199,999",83,49,2016-2020
Decatur,"$200,000 or more",54,39,2016-2020
Delaware,"Less than $10,000",71,47,2016-2020
Delaware,"$10,000 to $14,999",48,32,2016-2020
Delaware,"$15,000 to $19,999",155,82,2016-2020
Delaware,"$20,000 to $24,999",81,51,2016-2020
Delaware,"$25,000 to $29,999",160,69,2016-2020
Delaware,"$30,000 to $34,999",132,80,2016-2020
Delaware,"$35,000 to $39,999",208,86,2016-2020
