County,Year,White Estimate,White ME,Black Estimate,Black ME,Native American Estimate,Native American ME,Asian Estimate,Asian ME,Pacific Estimate,Pacific ME,Other Estimate,Other ME,Two+ Estimate,Two+ ME
Clayton,2019,"17,047",57,138,60,42,21,74,16,0,16,61,45,165,80
Clayton,2020,"17,047",57,138,60,42,21,74,16,0,16,61,45,165,80
Clayton,2011,"17,384",66,166,19,9,12,56,23,0,15,12,14,179,67
Clayton,2012,"17,384",66,166,19,9,12,56,23,0,15,12,14,179,67
Clayton,2013,"17,384",66,166,19,9,12,56,23,0,15,12,14,179,67
Clayton,2014,"17,384",66,166,19,9,12,56,23,0,15,12,14,179,67
Clayton,2015,"17,384",66,166,19,9,12,56,23,0,15,12,14,179,67
Clinton,2016,"43,623",163,"1,338",202,118,98,311,87,3,4,76,51,"1,265",268
Clinton,2017,"43,623",163,"1,338",202,118,98,311,87,3,4,76,51,"1,265",268
Clinton,2018,"43,623",163,"1,338",202,118,98,311,87,3,4,76,51,"1,265",268
Clinton,2019,"43,623",163,"1,338",202,118,98,311,87,3,4,76,51,"1,265",268
Clinton,2020,"43,623",163,"1,338",202,118,98,311,87,3,4,76,51,"1,265",268
Clinton,2011,"45,280",170,"1,352",170,197,44,322,50,0,20,285,162,929,228
Clinton,2012,"45,280",170,"1,352",170,197,44,322,50,0,20,285,162,929,228
Clinton,2013,"45,280",170,"1,352",170,197,44,322,50,0,20,285,162,929,228
Clinton,2014,"45,280",170,"1,352",170,197,44,322,50,0,20,285,162,929,228
Clinton,2015,"45,280",170,"1,352",170,197,44,322,50,0,20,285,162,929,228
Crawford,2016,"13,847",732,528,65,95,63,387,27,23,31,"1,424",762,694,265
Crawford,2017,"13,847",732,528,65,95,63,387,27,23,31,"1,424",762,694,265
Crawford,2018,"13,847",732,528,65,95,63,387,27,23,31,"1,424",762,694,265
Crawford,2019,"13,847",732,528,65,95,63,387,27,23,31,"1,424",762,694,265
Crawford,2020,"13,847",732,528,65,95,63,387,27,23,31,"1,424",762,694,265
Crawford,2011,"15,790",396,209,191,148,102,54,48,31,45,616,323,404,196
Crawford,2012,"15,790",396,209,191,148,102,54,48,31,45,616,323,404,196
Crawford,2013,"15,790",396,209,191,148,102,54,48,31,45,616,323,404,196
Crawford,2014,"15,790",396,209,191,148,102,54,48,31,45,616,323,404,196
Crawford,2015,"15,790",396,209,191,148,102,54,48,31,45,616,323,404,196
Dallas,2016,"80,317",598,"1,720",246,95,89,"4,163",357,104,123,776,353,"3,243",792
Dallas,2017,"80,317",598,"1,720",246,95,89,"4,163",357,104,123,776,353,"3,243",792
Dallas,2018,"80,317",598,"1,720",246,95,89,"4,163",357,104,123,776,353,"3,243",792
Dallas,2019,"80,317",598,"1,720",246,95,89,"4,163",357,104,123,776,353,"3,243",792
