County,Age,Age Group Estimate,Age Group ME,Year
Allamakee,60 and 61 years,422,125,2018
Allamakee,60 and 61 years,422,125,2019
Allamakee,60 and 61 years,422,125,2020
Allamakee,62 to 64 years,565,141,2016
Allamakee,62 to 64 years,565,141,2017
Allamakee,62 to 64 years,565,141,2018
Allamakee,62 to 64 years,565,141,2019
Allamakee,62 to 64 years,565,141,2020
Allamakee,65 and 66 years,432,138,2016
Allamakee,65 and 66 years,432,138,2017
Allamakee,65 and 66 years,432,138,2018
Allamakee,65 and 66 years,432,138,2019
Allamakee,65 and 66 years,432,138,2020
Allamakee,67 to 69 years,684,151,2016
Allamakee,67 to 69 years,684,151,2017
Allamakee,67 to 69 years,684,151,2018
Allamakee,67 to 69 years,684,151,2019
Allamakee,67 to 69 years,684,151,2020
Allamakee,70 to 74 years,602,132,2016
Allamakee,70 to 74 years,602,132,2017
Allamakee,70 to 74 years,602,132,2018
Allamakee,70 to 74 years,602,132,2019
Allamakee,70 to 74 years,602,132,2020
Allamakee,75 to 79 years,448,121,2016
Allamakee,75 to 79 years,448,121,2017
Allamakee,75 to 79 years,448,121,2018
Allamakee,75 to 79 years,448,121,2019
Allamakee,75 to 79 years,448,121,2020
Allamakee,80 to 84 years,409,115,2016
Allamakee,80 to 84 years,409,115,2017
Allamakee,80 to 84 years,409,115,2018
Allamakee,80 to 84 years,409,115,2019
Allamakee,80 to 84 years,409,115,2020
Allamakee,85 years and over,536,139,2016
Allamakee,85 years and over,536,139,2017
Allamakee,85 years and over,536,139,2018
Allamakee,85 years and over,536,139,2019
Allamakee,85 years and over,536,139,2020
Appanoose,21 years,78,78,2016
Appanoose,21 years,78,78,2017
Appanoose,21 years,78,78,2018
Appanoose,21 years,78,78,2019
Appanoose,21 years,78,78,2020
Appanoose,22 to 24 years,330,106,2016
Appanoose,22 to 24 years,330,106,2017
Appanoose,22 to 24 years,330,106,2018
Appanoose,22 to 24 years,330,106,2019
Appanoose,22 to 24 years,330,106,2020
Appanoose,25 to 29 years,643,66,2016
