County,Age,Age Group Estimate,Age Group ME,Year
Clay,67 to 69 years,720,187,2016-2020
Clay,70 to 74 years,658,179,2016-2020
Clay,75 to 79 years,548,188,2016-2020
Clay,80 to 84 years,421,168,2016-2020
Clay,85 years and over,643,198,2016-2020
Clayton,21 years,145,80,2016-2020
Clayton,22 to 24 years,521,95,2016-2020
Clayton,25 to 29 years,912,79,2016-2020
Clayton,30 to 34 years,876,52,2016-2020
Clayton,35 to 39 years,883,169,2016-2020
Clayton,40 to 44 years,866,164,2016-2020
Clayton,45 to 49 years,986,70,2016-2020
Clayton,50 to 54 years,"1,121",52,2016-2020
Clayton,55 to 59 years,"1,404",167,2016-2020
Clayton,60 and 61 years,574,149,2016-2020
Clayton,62 to 64 years,949,170,2016-2020
Clayton,65 and 66 years,568,141,2016-2020
Clayton,67 to 69 years,856,140,2016-2020
Clayton,70 to 74 years,780,125,2016-2020
Clayton,75 to 79 years,711,145,2016-2020
Clayton,80 to 84 years,500,126,2016-2020
Clayton,85 years and over,694,133,2016-2020
Clinton,21 years,721,245,2016-2020
Clinton,22 to 24 years,"1,275",273,2016-2020
Clinton,25 to 29 years,"2,463",136,2016-2020
Clinton,30 to 34 years,"2,625",193,2016-2020
Clinton,35 to 39 years,"2,793",376,2016-2020
Clinton,40 to 44 years,"2,563",369,2016-2020
Clinton,45 to 49 years,"2,773",152,2016-2020
Clinton,50 to 54 years,"3,319",184,2016-2020
Clinton,55 to 59 years,"3,423",383,2016-2020
Clinton,60 and 61 years,"1,446",310,2016-2020
Clinton,62 to 64 years,"2,126",367,2016-2020
Clinton,65 and 66 years,"1,296",282,2016-2020
Clinton,67 to 69 years,"1,338",232,2016-2020
Clinton,70 to 74 years,"2,419",301,2016-2020
Clinton,75 to 79 years,"1,437",244,2016-2020
Clinton,80 to 84 years,"1,357",296,2016-2020
Clinton,85 years and over,"1,333",265,2016-2020
Crawford,21 years,94,63,2016-2020
Crawford,22 to 24 years,756,251,2016-2020
Crawford,25 to 29 years,869,219,2016-2020
Crawford,30 to 34 years,"1,365",451,2016-2020
Crawford,35 to 39 years,865,364,2016-2020
Crawford,40 to 44 years,806,242,2016-2020
Crawford,45 to 49 years,772,187,2016-2020
Crawford,50 to 54 years,"1,033",234,2016-2020
Crawford,55 to 59 years,"1,402",259,2016-2020
Crawford,60 and 61 years,376,138,2016-2020
Crawford,62 to 64 years,569,136,2016-2020
Crawford,65 and 66 years,476,224,2016-2020
Crawford,67 to 69 years,450,167,2016-2020
Crawford,70 to 74 years,602,153,2016-2020
Crawford,75 to 79 years,486,137,2016-2020
Crawford,80 to 84 years,491,166,2016-2020
Crawford,85 years and over,390,145,2016-2020
Dallas,21 years,723,300,2016-2020
Dallas,22 to 24 years,"3,197",429,2016-2020
Dallas,25 to 29 years,"6,182",264,2016-2020
Dallas,30 to 34 years,"7,116",311,2016-2020
Dallas,35 to 39 years,"8,351",724,2016-2020
Dallas,40 to 44 years,"6,403",752,2016-2020
Dallas,45 to 49 years,"5,962",263,2016-2020
Dallas,50 to 54 years,"5,365",252,2016-2020
Dallas,55 to 59 years,"4,613",477,2016-2020
Dallas,60 and 61 years,"1,935",420,2016-2020
Dallas,62 to 64 years,"2,472",392,2016-2020
Dallas,65 and 66 years,"1,356",305,2016-2020
Dallas,67 to 69 years,"2,332",376,2016-2020
Dallas,70 to 74 years,"2,516",345,2016-2020
Dallas,75 to 79 years,"1,809",323,2016-2020
Dallas,80 to 84 years,"1,186",276,2016-2020
Dallas,85 years and over,"1,576",310,2016-2020
Davis,21 years,95,71,2016-2020
Davis,22 to 24 years,302,81,2016-2020
Davis,25 to 29 years,494,33,2016-2020
Davis,30 to 34 years,472,31,2016-2020
Davis,35 to 39 years,473,133,2016-2020
Davis,40 to 44 years,466,135,2016-2020
Davis,45 to 49 years,516,39,2016-2020
Davis,50 to 54 years,490,20,2016-2020
Davis,55 to 59 years,516,125,2016-2020
Davis,60 and 61 years,320,103,2016-2020
Davis,62 to 64 years,302,127,2016-2020
Davis,65 and 66 years,142,76,2016-2020
Davis,67 to 69 years,235,96,2016-2020
Davis,70 to 74 years,461,109,2016-2020
Davis,75 to 79 years,243,80,2016-2020
Davis,80 to 84 years,225,86,2016-2020
Davis,85 years and over,264,99,2016-2020
Decatur,21 years,169,100,2016-2020
Decatur,22 to 24 years,545,169,2016-2020
Decatur,25 to 29 years,366,28,2016-2020
Decatur,30 to 34 years,401,44,2016-2020
Decatur,35 to 39 years,429,109,2016-2020
Decatur,40 to 44 years,298,102,2016-2020
Decatur,45 to 49 years,368,18,2016-2020
Decatur,50 to 54 years,388,34,2016-2020
Decatur,55 to 59 years,476,89,2016-2020
Decatur,60 and 61 years,188,72,2016-2020
Decatur,62 to 64 years,317,90,2016-2020
Decatur,65 and 66 years,228,79,2016-2020
Decatur,67 to 69 years,239,72,2016-2020
Decatur,70 to 74 years,354,91,2016-2020
Decatur,75 to 79 years,321,100,2016-2020
Decatur,80 to 84 years,210,66,2016-2020
Decatur,85 years and over,252,94,2016-2020
Delaware,21 years,171,114,2016-2020
Delaware,22 to 24 years,565,137,2016-2020
Delaware,25 to 29 years,763,20,2016-2020
Delaware,30 to 34 years,829,22,2016-2020
Delaware,35 to 39 years,931,220,2016-2020
Delaware,40 to 44 years,967,201,2016-2020
Delaware,45 to 49 years,965,27,2016-2020
Delaware,50 to 54 years,"1,141",32,2016-2020
Delaware,55 to 59 years,"1,535",232,2016-2020
Delaware,60 and 61 years,527,171,2016-2020
Delaware,62 to 64 years,796,196,2016-2020
Delaware,65 and 66 years,421,157,2016-2020
Delaware,67 to 69 years,735,168,2016-2020
Delaware,70 to 74 years,633,158,2016-2020
Delaware,75 to 79 years,345,124,2016-2020
Delaware,80 to 84 years,677,184,2016-2020
Delaware,85 years and over,516,145,2016-2020
Des Moines,21 years,344,146,2016-2020
Des Moines,22 to 24 years,"1,306",220,2016-2020
Des Moines,25 to 29 years,"2,207",183,2016-2020
Des Moines,30 to 34 years,"2,231",218,2016-2020
Des Moines,35 to 39 years,"2,106",362,2016-2020
Des Moines,40 to 44 years,"2,411",372,2016-2020
Des Moines,45 to 49 years,"2,270",105,2016-2020
Des Moines,50 to 54 years,"2,488",132,2016-2020
Des Moines,55 to 59 years,"2,548",353,2016-2020
Des Moines,60 and 61 years,"1,324",265,2016-2020
Des Moines,62 to 64 years,"1,711",325,2016-2020
Des Moines,65 and 66 years,987,225,2016-2020
Des Moines,67 to 69 years,"1,484",275,2016-2020
Des Moines,70 to 74 years,"1,976",284,2016-2020
Des Moines,75 to 79 years,"1,311",264,2016-2020
Des Moines,80 to 84 years,936,225,2016-2020
Des Moines,85 years and over,"1,415",285,2016-2020
Dickinson,21 years,109,85,2016-2020
Dickinson,22 to 24 years,624,97,2016-2020
Dickinson,25 to 29 years,809,33,2016-2020
Dickinson,30 to 34 years,853,27,2016-2020
Dickinson,35 to 39 years,994,213,2016-2020
Dickinson,40 to 44 years,926,193,2016-2020
Dickinson,45 to 49 years,961,35,2016-2020
Dickinson,50 to 54 years,"1,027",44,2016-2020
Dickinson,55 to 59 years,"1,281",242,2016-2020
Dickinson,60 and 61 years,514,164,2016-2020
Dickinson,62 to 64 years,986,262,2016-2020
Dickinson,65 and 66 years,571,158,2016-2020
Dickinson,67 to 69 years,844,167,2016-2020
Dickinson,70 to 74 years,"1,125",180,2016-2020
Dickinson,75 to 79 years,783,179,2016-2020
Dickinson,80 to 84 years,533,152,2016-2020
Dickinson,85 years and over,636,178,2016-2020
Dubuque,21 years,"1,400",322,2016-2020
Dubuque,22 to 24 years,"3,775",462,2016-2020
Dubuque,25 to 29 years,"6,307",254,2016-2020
Dubuque,30 to 34 years,"5,810",194,2016-2020
Dubuque,35 to 39 years,"6,166",445,2016-2020
Dubuque,40 to 44 years,"4,858",448,2016-2020
Dubuque,45 to 49 years,"5,323",161,2016-2020
Dubuque,50 to 54 years,"6,164",156,2016-2020
Dubuque,55 to 59 years,"6,675",434,2016-2020
Dubuque,60 and 61 years,"2,680",372,2016-2020
Dubuque,62 to 64 years,"3,959",387,2016-2020
Dubuque,65 and 66 years,"2,427",379,2016-2020
Dubuque,67 to 69 years,"2,861",354,2016-2020
Dubuque,70 to 74 years,"4,083",353,2016-2020
Dubuque,75 to 79 years,"3,102",408,2016-2020
Dubuque,80 to 84 years,"2,296",337,2016-2020
Dubuque,85 years and over,"2,487",316,2016-2020
Emmet,21 years,77,73,2016-2020
Emmet,22 to 24 years,156,104,2016-2020
Emmet,25 to 29 years,458,143,2016-2020
Emmet,30 to 34 years,482,96,2016-2020
Emmet,35 to 39 years,576,135,2016-2020
Emmet,40 to 44 years,402,123,2016-2020
Emmet,45 to 49 years,503,67,2016-2020
Emmet,50 to 54 years,602,102,2016-2020
Emmet,55 to 59 years,692,145,2016-2020
Emmet,60 and 61 years,294,96,2016-2020
Emmet,62 to 64 years,479,105,2016-2020
Emmet,65 and 66 years,232,88,2016-2020
Emmet,67 to 69 years,389,109,2016-2020
Emmet,70 to 74 years,425,107,2016-2020
Emmet,75 to 79 years,393,110,2016-2020
Emmet,80 to 84 years,230,95,2016-2020
Emmet,85 years and over,299,103,2016-2020
Fayette,21 years,245,145,2016-2020
Fayette,22 to 24 years,669,151,2016-2020
Fayette,25 to 29 years,"1,092",71,2016-2020
Fayette,30 to 34 years,987,64,2016-2020
Fayette,35 to 39 years,"1,048",149,2016-2020
Fayette,40 to 44 years,957,154,2016-2020
Fayette,45 to 49 years,"1,027",46,2016-2020
Fayette,50 to 54 years,"1,275",39,2016-2020
Fayette,55 to 59 years,"1,491",184,2016-2020
Fayette,60 and 61 years,527,121,2016-2020
Fayette,62 to 64 years,"1,027",167,2016-2020
Fayette,65 and 66 years,478,124,2016-2020
Fayette,67 to 69 years,807,162,2016-2020
Fayette,70 to 74 years,916,180,2016-2020
Fayette,75 to 79 years,821,126,2016-2020
Fayette,80 to 84 years,537,120,2016-2020
Fayette,85 years and over,636,132,2016-2020
Floyd,21 years,237,110,2016-2020
Floyd,22 to 24 years,564,156,2016-2020
Floyd,25 to 29 years,747,19,2016-2020
Floyd,30 to 34 years,747,37,2016-2020
Floyd,35 to 39 years,890,232,2016-2020
Floyd,40 to 44 years,822,163,2016-2020
Floyd,45 to 49 years,899,63,2016-2020
Floyd,50 to 54 years,"1,035",96,2016-2020
Floyd,55 to 59 years,"1,346",173,2016-2020
Floyd,60 and 61 years,345,106,2016-2020
Floyd,62 to 64 years,580,144,2016-2020
Floyd,65 and 66 years,429,143,2016-2020
Floyd,67 to 69 years,731,166,2016-2020
Floyd,70 to 74 years,707,179,2016-2020
Floyd,75 to 79 years,578,171,2016-2020
Floyd,80 to 84 years,358,130,2016-2020
Floyd,85 years and over,674,170,2016-2020
Franklin,21 years,46,52,2016-2020
Franklin,22 to 24 years,383,88,2016-2020
Franklin,25 to 29 years,510,94,2016-2020
Franklin,30 to 34 years,634,82,2016-2020
Franklin,35 to 39 years,472,127,2016-2020
Franklin,40 to 44 years,565,170,2016-2020
