County,Poverty ,Year
Cerro Gordo,13.4,2014
Cerro Gordo,13.4,2015
Cherokee,11.2,2011
Cherokee,11.2,2012
Cherokee,11.2,2013
Cherokee,11.2,2014
Cherokee,11.2,2015
Chickasaw,8.8,2011
Chickasaw,8.8,2012
Chickasaw,8.8,2013
Chickasaw,8.8,2014
Chickasaw,8.8,2015
Clarke,16.4,2011
Clarke,16.4,2012
Clarke,16.4,2013
Clarke,16.4,2014
Clarke,16.4,2015
Clay,11.5,2011
Clay,11.5,2012
Clay,11.5,2013
Clay,11.5,2014
Clay,11.5,2015
Clayton,11.1,2011
Clayton,11.1,2012
Clayton,11.1,2013
Clayton,11.1,2014
Clayton,11.1,2015
Clinton,13.9,2011
Clinton,13.9,2012
Clinton,13.9,2013
Clinton,13.9,2014
Clinton,13.9,2015
Crawford,19.8,2011
Crawford,19.8,2012
Crawford,19.8,2013
Crawford,19.8,2014
Crawford,19.8,2015
Dallas,6.5,2011
Dallas,6.5,2012
Dallas,6.5,2013
Dallas,6.5,2014
Dallas,6.5,2015
Davis,19.3,2011
Davis,19.3,2012
Davis,19.3,2013
Davis,19.3,2014
Davis,19.3,2015
Decatur,20.6,2011
Decatur,20.6,2012
Decatur,20.6,2013
Decatur,20.6,2014
Decatur,20.6,2015
Delaware,10.0,2011
Delaware,10.0,2012
Delaware,10.0,2013
Delaware,10.0,2014
Delaware,10.0,2015
Des Moines,15.2,2011
Des Moines,15.2,2012
Des Moines,15.2,2013
Des Moines,15.2,2014
Des Moines,15.2,2015
Dickinson,6.6,2011
Dickinson,6.6,2012
Dickinson,6.6,2013
Dickinson,6.6,2014
Dickinson,6.6,2015
Dubuque,12.2,2011
Dubuque,12.2,2012
Dubuque,12.2,2013
Dubuque,12.2,2014
Dubuque,12.2,2015
Emmet,13.6,2011
Emmet,13.6,2012
Emmet,13.6,2013
Emmet,13.6,2014
Emmet,13.6,2015
Fayette,12.9,2011
Fayette,12.9,2012
Fayette,12.9,2013
Fayette,12.9,2014
Fayette,12.9,2015
Floyd,12.4,2011
Floyd,12.4,2012
Floyd,12.4,2013
Floyd,12.4,2014
Floyd,12.4,2015
Franklin,13.3,2011
Franklin,13.3,2012
Franklin,13.3,2013
Franklin,13.3,2014
Franklin,13.3,2015
Fremont,11.0,2011
Fremont,11.0,2012
Fremont,11.0,2013
Fremont,11.0,2014
Fremont,11.0,2015
Greene,12.6,2011
Greene,12.6,2012
Greene,12.6,2013
Greene,12.6,2014
Greene,12.6,2015
Grundy,6.2,2011
Grundy,6.2,2012
Grundy,6.2,2013
Grundy,6.2,2014
Grundy,6.2,2015
Guthrie,11.4,2011
Guthrie,11.4,2012
Guthrie,11.4,2013
Guthrie,11.4,2014
Guthrie,11.4,2015
Hamilton,11.4,2011
Hamilton,11.4,2012
Hamilton,11.4,2013
Hamilton,11.4,2014
Hamilton,11.4,2015
Hancock,8.5,2011
Hancock,8.5,2012
Hancock,8.5,2013
Hancock,8.5,2014
Hancock,8.5,2015
Hardin,8.8,2011
Hardin,8.8,2012
Hardin,8.8,2013
Hardin,8.8,2014
Hardin,8.8,2015
Harrison,9.9,2011
Harrison,9.9,2012
Harrison,9.9,2013
Harrison,9.9,2014
Harrison,9.9,2015
Henry,14.5,2011
Henry,14.5,2012
Henry,14.5,2013
Henry,14.5,2014
Henry,14.5,2015
Howard,11.7,2011
Howard,11.7,2012
Howard,11.7,2013
Howard,11.7,2014
Howard,11.7,2015
Humboldt,12.2,2011
Humboldt,12.2,2012
Humboldt,12.2,2013
Humboldt,12.2,2014
Humboldt,12.2,2015
Ida,11.7,2011
Ida,11.7,2012
Ida,11.7,2013
Ida,11.7,2014
Ida,11.7,2015
Iowa,8.7,2011
Iowa,8.7,2012
Iowa,8.7,2013
Iowa,8.7,2014
Iowa,8.7,2015
Jackson,12.1,2011
Jackson,12.1,2012
Jackson,12.1,2013
Jackson,12.1,2014
Jackson,12.1,2015
Jasper,9.6,2011
Jasper,9.6,2012
Jasper,9.6,2013
Jasper,9.6,2014
Jasper,9.6,2015
Jefferson,15.0,2011
Jefferson,15.0,2012
Jefferson,15.0,2013
Jefferson,15.0,2014
Jefferson,15.0,2015
Johnson,17.9,2011
Johnson,17.9,2012
Johnson,17.9,2013
Johnson,17.9,2014
Johnson,17.9,2015
Jones,10.2,2011
Jones,10.2,2012
Jones,10.2,2013
Jones,10.2,2014
Jones,10.2,2015
Keokuk,13.5,2011
Keokuk,13.5,2012
Keokuk,13.5,2013
Keokuk,13.5,2014
Keokuk,13.5,2015
Kossuth,9.0,2011
Kossuth,9.0,2012
Kossuth,9.0,2013
Kossuth,9.0,2014
Kossuth,9.0,2015
Lee,16.8,2011
Lee,16.8,2012
Lee,16.8,2013
Lee,16.8,2014
Lee,16.8,2015
Linn,9.8,2011
Linn,9.8,2012
Linn,9.8,2013
Linn,9.8,2014
Linn,9.8,2015
Louisa,12.2,2011
Louisa,12.2,2012
Louisa,12.2,2013
Louisa,12.2,2014
Louisa,12.2,2015
Lucas,13.1,2011
Lucas,13.1,2012
Lucas,13.1,2013
Lucas,13.1,2014
Lucas,13.1,2015
Lyon,7.3,2011
Lyon,7.3,2012
Lyon,7.3,2013
Lyon,7.3,2014
Lyon,7.3,2015
Madison,7.6,2011
Madison,7.6,2012
Madison,7.6,2013
Madison,7.6,2014
Madison,7.6,2015
Mahaska,14.7,2011
Mahaska,14.7,2012
Mahaska,14.7,2013
Mahaska,14.7,2014
Mahaska,14.7,2015
Marion,9.9,2011
Marion,9.9,2012
Marion,9.9,2013
Marion,9.9,2014
Marion,9.9,2015
Marshall,11.1,2011
Marshall,11.1,2012
Marshall,11.1,2013
Marshall,11.1,2014
Marshall,11.1,2015
Mills,8.9,2011
Mills,8.9,2012
Mills,8.9,2013
Mills,8.9,2014
Mills,8.9,2015
Mitchell,9.6,2011
Mitchell,9.6,2012
Mitchell,9.6,2013
Mitchell,9.6,2014
Mitchell,9.6,2015
Monona,13.9,2011
Monona,13.9,2012
Monona,13.9,2013
Monona,13.9,2014
Monona,13.9,2015
Monroe,12.1,2011
Monroe,12.1,2012
Monroe,12.1,2013
Monroe,12.1,2014
Monroe,12.1,2015
Montgomery,16.8,2011
Montgomery,16.8,2012
Montgomery,16.8,2013
Montgomery,16.8,2014
Montgomery,16.8,2015
Muscatine,12.4,2011
Muscatine,12.4,2012
Muscatine,12.4,2013
Muscatine,12.4,2014
Muscatine,12.4,2015
O'Brien,7.3,2011
O'Brien,7.3,2012
O'Brien,7.3,2013
O'Brien,7.3,2014
O'Brien,7.3,2015
Osceola,8.5,2011
Osceola,8.5,2012
Osceola,8.5,2013
Osceola,8.5,2014
Osceola,8.5,2015
Page,15.3,2011
Page,15.3,2012
Page,15.3,2013
Page,15.3,2014
Page,15.3,2015
Palo Alto,10.7,2011
Palo Alto,10.7,2012
Palo Alto,10.7,2013
Palo Alto,10.7,2014
Palo Alto,10.7,2015
Plymouth,7.8,2011
Plymouth,7.8,2012
Plymouth,7.8,2013
Plymouth,7.8,2014
Plymouth,7.8,2015
Pocahontas,14.2,2011
Pocahontas,14.2,2012
Pocahontas,14.2,2013
Pocahontas,14.2,2014
Pocahontas,14.2,2015
Polk,12.9,2011
Polk,12.9,2012
Polk,12.9,2013
Polk,12.9,2014
Polk,12.9,2015
Pottawattamie,13.0,2011
Pottawattamie,13.0,2012
Pottawattamie,13.0,2013
Pottawattamie,13.0,2014
Pottawattamie,13.0,2015
Poweshiek,10.4,2011
Poweshiek,10.4,2012
Poweshiek,10.4,2013
Poweshiek,10.4,2014
Poweshiek,10.4,2015
Ringgold,10.6,2011
Ringgold,10.6,2012
Ringgold,10.6,2013
Ringgold,10.6,2014
Ringgold,10.6,2015
Sac,8.2,2011
Sac,8.2,2012
Sac,8.2,2013
Sac,8.2,2014
Sac,8.2,2015
Scott,12.1,2011
Scott,12.1,2012
Scott,12.1,2013
Scott,12.1,2014
Scott,12.1,2015
Shelby,11.2,2011
Shelby,11.2,2012
Shelby,11.2,2013
Shelby,11.2,2014
Shelby,11.2,2015
Sioux,8.3,2011
Sioux,8.3,2012
Sioux,8.3,2013
Sioux,8.3,2014
Sioux,8.3,2015
Story,22.7,2011
Story,22.7,2012
Story,22.7,2013
Story,22.7,2014
Story,22.7,2015
Tama,11.3,2011
Tama,11.3,2012
Tama,11.3,2013
Tama,11.3,2014
Tama,11.3,2015
Taylor,14.1,2011
Taylor,14.1,2012
Taylor,14.1,2013
Taylor,14.1,2014
Taylor,14.1,2015
Union,13.6,2011
Union,13.6,2012
Union,13.6,2013
Union,13.6,2014
Union,13.6,2015
Van Buren,14.9,2011
Van Buren,14.9,2012
Van Buren,14.9,2013
Van Buren,14.9,2014
Van Buren,14.9,2015
Wapello,18.6,2011
Wapello,18.6,2012
Wapello,18.6,2013
Wapello,18.6,2014
Wapello,18.6,2015
Warren,6.8,2011
Warren,6.8,2012
Warren,6.8,2013
Warren,6.8,2014
Warren,6.8,2015
Washington,9.3,2011
Washington,9.3,2012
Washington,9.3,2013
Washington,9.3,2014
Washington,9.3,2015
Wayne,13.3,2011
Wayne,13.3,2012
Wayne,13.3,2013
Wayne,13.3,2014
Wayne,13.3,2015
Webster,15.2,2011
Webster,15.2,2012
Webster,15.2,2013
Webster,15.2,2014
Webster,15.2,2015
Winnebago,9.9,2011
Winnebago,9.9,2012
Winnebago,9.9,2013
Winnebago,9.9,2014
Winnebago,9.9,2015
Winneshiek,8.1,2011
Winneshiek,8.1,2012
Winneshiek,8.1,2013
Winneshiek,8.1,2014
Winneshiek,8.1,2015
Woodbury,14.6,2011
Woodbury,14.6,2012
Woodbury,14.6,2013
Woodbury,14.6,2014
Woodbury,14.6,2015
Worth,12.0,2011
Worth,12.0,2012
Worth,12.0,2013
Worth,12.0,2014
Worth,12.0,2015
Wright,11.1,2011
Wright,11.1,2012
Wright,11.1,2013
Wright,11.1,2014
Wright,11.1,2015
