"County","Year","HighIncome","LowIncome","MidIncome"
"Grundy",2017,797,507,2290
"Grundy",2018,797,507,2290
"Grundy",2019,797,507,2290
"Grundy",2020,797,507,2290
"Guthrie",2011,409,788,1851
"Guthrie",2012,409,788,1851
"Guthrie",2013,409,788,1851
"Guthrie",2014,409,788,1851
"Guthrie",2015,409,788,1851
"Guthrie",2016,570,642,1896
"Guthrie",2017,570,642,1896
"Guthrie",2018,570,642,1896
"Guthrie",2019,570,642,1896
"Guthrie",2020,570,642,1896
"Hamilton",2011,381,1194,2655
"Hamilton",2012,381,1194,2655
"Hamilton",2013,381,1194,2655
"Hamilton",2014,381,1194,2655
"Hamilton",2015,381,1194,2655
"Hamilton",2016,624,750,2614
"Hamilton",2017,624,750,2614
"Hamilton",2018,624,750,2614
"Hamilton",2019,624,750,2614
"Hamilton",2020,624,750,2614
"Hancock",2011,348,686,2050
"Hancock",2012,348,686,2050
"Hancock",2013,348,686,2050
"Hancock",2014,348,686,2050
"Hancock",2015,348,686,2050
"Hancock",2016,488,752,2072
"Hancock",2017,488,752,2072
"Hancock",2018,488,752,2072
"Hancock",2019,488,752,2072
"Hancock",2020,488,752,2072
"Hardin",2011,486,998,2909
"Hardin",2012,486,998,2909
"Hardin",2013,486,998,2909
"Hardin",2014,486,998,2909
"Hardin",2015,486,998,2909
"Hardin",2016,580,874,2982
"Hardin",2017,580,874,2982
"Hardin",2018,580,874,2982
"Hardin",2019,580,874,2982
"Hardin",2020,580,874,2982
"Harrison",2011,548,924,2462
"Harrison",2012,548,924,2462
"Harrison",2013,548,924,2462
"Harrison",2014,548,924,2462
"Harrison",2015,548,924,2462
"Harrison",2016,811,879,2540
"Harrison",2017,811,879,2540
"Harrison",2018,811,879,2540
"Harrison",2019,811,879,2540
"Harrison",2020,811,879,2540
"Henry",2011,516,1662,2948
"Henry",2012,516,1662,2948
"Henry",2013,516,1662,2948
"Henry",2014,516,1662,2948
"Henry",2015,516,1662,2948
"Henry",2016,639,1112,3350
"Henry",2017,639,1112,3350
"Henry",2018,639,1112,3350
"Henry",2019,639,1112,3350
"Henry",2020,639,1112,3350
"Howard",2011,278,658,1494
"Howard",2012,278,658,1494
"Howard",2013,278,658,1494
"Howard",2014,278,658,1494
"Howard",2015,278,658,1494
"Howard",2016,304,600,1651
"Howard",2017,304,600,1651
"Howard",2018,304,600,1651
"Howard",2019,304,600,1651
"Howard",2020,304,600,1651
"Humboldt",2011,357,912,1529
"Humboldt",2012,357,912,1529
"Humboldt",2013,357,912,1529
"Humboldt",2014,357,912,1529
"Humboldt",2015,357,912,1529
"Humboldt",2016,361,644,1579
"Humboldt",2017,361,644,1579
"Humboldt",2018,361,644,1579
"Humboldt",2019,361,644,1579
"Humboldt",2020,361,644,1579
"Ida",2011,278,613,1181
"Ida",2012,278,613,1181
"Ida",2013,278,613,1181
"Ida",2014,278,613,1181
"Ida",2015,278,613,1181
"Ida",2016,320,419,1163
"Ida",2017,320,419,1163
"Ida",2018,320,419,1163
"Ida",2019,320,419,1163
"Ida",2020,320,419,1163
"Iowa",2011,685,965,3195
"Iowa",2012,685,965,3195
"Iowa",2013,685,965,3195
"Iowa",2014,685,965,3195
"Iowa",2015,685,965,3195
"Iowa",2016,924,738,2838
"Iowa",2017,924,738,2838
"Iowa",2018,924,738,2838
"Iowa",2019,924,738,2838
"Iowa",2020,924,738,2838
"Jackson",2011,622,1498,3578
"Jackson",2012,622,1498,3578
"Jackson",2013,622,1498,3578
"Jackson",2014,622,1498,3578
"Jackson",2015,622,1498,3578
"Jackson",2016,1094,1248,3133
"Jackson",2017,1094,1248,3133
"Jackson",2018,1094,1248,3133
"Jackson",2019,1094,1248,3133
"Jackson",2020,1094,1248,3133
"Jasper",2011,1064,2320,6376
"Jasper",2012,1064,2320,6376
"Jasper",2013,1064,2320,6376
"Jasper",2014,1064,2320,6376
"Jasper",2015,1064,2320,6376
"Jasper",2016,1822,2103,6085
"Jasper",2017,1822,2103,6085
"Jasper",2018,1822,2103,6085
"Jasper",2019,1822,2103,6085
"Jasper",2020,1822,2103,6085
"Jefferson",2011,420,1299,2426
"Jefferson",2012,420,1299,2426
"Jefferson",2013,420,1299,2426
"Jefferson",2014,420,1299,2426
"Jefferson",2015,420,1299,2426
"Jefferson",2016,482,1139,2213
"Jefferson",2017,482,1139,2213
"Jefferson",2018,482,1139,2213
"Jefferson",2019,482,1139,2213
"Jefferson",2020,482,1139,2213
"Johnson",2011,7636,5638,17297
"Johnson",2012,7636,5638,17297
"Johnson",2013,7636,5638,17297
"Johnson",2014,7636,5638,17297
"Johnson",2015,7636,5638,17297
"Johnson",2016,10926,5407,16367
"Johnson",2017,10926,5407,16367
"Johnson",2018,10926,5407,16367
"Johnson",2019,10926,5407,16367
"Johnson",2020,10926,5407,16367
"Jones",2011,667,1280,3737
"Jones",2012,667,1280,3737
"Jones",2013,667,1280,3737
"Jones",2014,667,1280,3737
"Jones",2015,667,1280,3737
"Jones",2016,912,1116,3203
"Jones",2017,912,1116,3203
"Jones",2018,912,1116,3203
"Jones",2019,912,1116,3203
"Jones",2020,912,1116,3203
"Keokuk",2011,216,881,1688
"Keokuk",2012,216,881,1688
"Keokuk",2013,216,881,1688
"Keokuk",2014,216,881,1688
"Keokuk",2015,216,881,1688
"Keokuk",2016,449,617,1585
"Keokuk",2017,449,617,1585
"Keokuk",2018,449,617,1585
"Keokuk",2019,449,617,1585
"Keokuk",2020,449,617,1585
"Kossuth",2011,498,1155,2686
"Kossuth",2012,498,1155,2686
"Kossuth",2013,498,1155,2686
"Kossuth",2014,498,1155,2686
"Kossuth",2015,498,1155,2686
"Kossuth",2016,733,898,2388
"Kossuth",2017,733,898,2388
"Kossuth",2018,733,898,2388
"Kossuth",2019,733,898,2388
"Kossuth",2020,733,898,2388
"Lee",2011,584,3114,5568
"Lee",2012,584,3114,5568
"Lee",2013,584,3114,5568
"Lee",2014,584,3114,5568
"Lee",2015,584,3114,5568
"Lee",2016,1316,2437,5635
"Lee",2017,1316,2437,5635
"Lee",2018,1316,2437,5635
"Lee",2019,1316,2437,5635
"Lee",2020,1316,2437,5635
"Linn",2011,11547,11119,31987
"Linn",2012,11547,11119,31987
"Linn",2013,11547,11119,31987
"Linn",2014,11547,11119,31987
"Linn",2015,11547,11119,31987
"Linn",2016,16295,9365,31427
"Linn",2017,16295,9365,31427
"Linn",2018,16295,9365,31427
"Linn",2019,16295,9365,31427
"Linn",2020,16295,9365,31427
"Louisa",2011,306,922,1817
"Louisa",2012,306,922,1817
"Louisa",2013,306,922,1817
"Louisa",2014,306,922,1817
"Louisa",2015,306,922,1817
"Louisa",2016,556,595,1909
"Louisa",2017,556,595,1909
"Louisa",2018,556,595,1909
"Louisa",2019,556,595,1909
"Louisa",2020,556,595,1909
"Lucas",2011,239,687,1430
"Lucas",2012,239,687,1430
"Lucas",2013,239,687,1430
"Lucas",2014,239,687,1430
"Lucas",2015,239,687,1430
"Lucas",2016,384,598,1558
"Lucas",2017,384,598,1558
"Lucas",2018,384,598,1558
"Lucas",2019,384,598,1558
"Lucas",2020,384,598,1558
"Lyon",2011,458,679,2100
"Lyon",2012,458,679,2100
"Lyon",2013,458,679,2100
"Lyon",2014,458,679,2100
"Lyon",2015,458,679,2100
"Lyon",2016,533,559,2272
"Lyon",2017,533,559,2272
"Lyon",2018,533,559,2272
"Lyon",2019,533,559,2272
"Lyon",2020,533,559,2272
"Madison",2011,770,890,2555
"Madison",2012,770,890,2555
"Madison",2013,770,890,2555
"Madison",2014,770,890,2555
"Madison",2015,770,890,2555
"Madison",2016,1424,728,2777
"Madison",2017,1424,728,2777
"Madison",2018,1424,728,2777
"Madison",2019,1424,728,2777
"Madison",2020,1424,728,2777
"Mahaska",2011,514,1718,3607
"Mahaska",2012,514,1718,3607
"Mahaska",2013,514,1718,3607
"Mahaska",2014,514,1718,3607
"Mahaska",2015,514,1718,3607
"Mahaska",2016,803,1382,3724
"Mahaska",2017,803,1382,3724
"Mahaska",2018,803,1382,3724
"Mahaska",2019,803,1382,3724
"Mahaska",2020,803,1382,3724
"Marion",2011,1016,2046,5798
"Marion",2012,1016,2046,5798
"Marion",2013,1016,2046,5798
"Marion",2014,1016,2046,5798
"Marion",2015,1016,2046,5798
"Marion",2016,2022,1544,5765
"Marion",2017,2022,1544,5765
"Marion",2018,2022,1544,5765
"Marion",2019,2022,1544,5765
"Marion",2020,2022,1544,5765
"Marshall",2011,1047,2760,6687
"Marshall",2012,1047,2760,6687
"Marshall",2013,1047,2760,6687
"Marshall",2014,1047,2760,6687
"Marshall",2015,1047,2760,6687
"Marshall",2016,1648,2136,6229
"Marshall",2017,1648,2136,6229
"Marshall",2018,1648,2136,6229
"Marshall",2019,1648,2136,6229
"Marshall",2020,1648,2136,6229
"Mills",2011,777,817,2397
"Mills",2012,777,817,2397
"Mills",2013,777,817,2397
"Mills",2014,777,817,2397
"Mills",2015,777,817,2397
