County,Age,Age Group Estimate,Age Group ME,Year
Audubon,Middle-Old,487,85,2016
Audubon,Middle-Old,487,85,2017
Audubon,Middle-Old,487,85,2018
Audubon,Middle-Old,487,85,2019
Audubon,Middle-Old,487,85,2020
Audubon,Old,187,68,2016
Audubon,Old,187,68,2017
Audubon,Old,187,68,2018
Audubon,Old,187,68,2019
Audubon,Old,187,68,2020
Audubon,Old,280,89,2016
Audubon,Old,280,89,2017
Audubon,Old,280,89,2018
Audubon,Old,280,89,2019
Audubon,Old,280,89,2020
Audubon,Old,136,51,2016
Audubon,Old,136,51,2017
Audubon,Old,136,51,2018
Audubon,Old,136,51,2019
Audubon,Old,136,51,2020
Audubon,Old,275,60,2016
Audubon,Old,275,60,2017
Audubon,Old,275,60,2018
Audubon,Old,275,60,2019
Audubon,Old,275,60,2020
Audubon,Old,255,58,2016
Audubon,Old,255,58,2017
Audubon,Old,255,58,2018
Audubon,Old,255,58,2019
Audubon,Old,255,58,2020
Audubon,Old,268,70,2016
Audubon,Old,268,70,2017
Audubon,Old,268,70,2018
Audubon,Old,268,70,2019
Audubon,Old,268,70,2020
Audubon,Old,191,81,2016
Audubon,Old,191,81,2017
Audubon,Old,191,81,2018
Audubon,Old,191,81,2019
Audubon,Old,191,81,2020
Audubon,Old,239,76,2016
Audubon,Old,239,76,2017
Audubon,Old,239,76,2018
Audubon,Old,239,76,2019
Audubon,Old,239,76,2020
Benton,Young,206,95,2016
Benton,Young,206,95,2017
Benton,Young,206,95,2018
Benton,Young,206,95,2019
Benton,Young,206,95,2020
Benton,Young,843,132,2016
Benton,Young,843,132,2017
Benton,Young,843,132,2018
Benton,Young,843,132,2019
Benton,Young,843,132,2020
Benton,Young,"1,278",53,2016
Benton,Young,"1,278",53,2017
Benton,Young,"1,278",53,2018
Benton,Young,"1,278",53,2019
Benton,Young,"1,278",53,2020
Benton,Middle-Young,"1,343",40,2016
Benton,Middle-Young,"1,343",40,2017
Benton,Middle-Young,"1,343",40,2018
Benton,Middle-Young,"1,343",40,2019
Benton,Middle-Young,"1,343",40,2020
Benton,Middle-Young,"1,533",211,2016
Benton,Middle-Young,"1,533",211,2017
Benton,Middle-Young,"1,533",211,2018
Benton,Middle-Young,"1,533",211,2019
Benton,Middle-Young,"1,533",211,2020
Benton,Middle-Young,"1,541",209,2016
Benton,Middle-Young,"1,541",209,2017
Benton,Middle-Young,"1,541",209,2018
Benton,Middle-Young,"1,541",209,2019
Benton,Middle-Young,"1,541",209,2020
Benton,Middle-Old,"1,556",38,2016
Benton,Middle-Old,"1,556",38,2017
Benton,Middle-Old,"1,556",38,2018
Benton,Middle-Old,"1,556",38,2019
Benton,Middle-Old,"1,556",38,2020
Benton,Middle-Old,"1,954",63,2016
Benton,Middle-Old,"1,954",63,2017
Benton,Middle-Old,"1,954",63,2018
Benton,Middle-Old,"1,954",63,2019
Benton,Middle-Old,"1,954",63,2020
Benton,Middle-Old,"1,995",235,2016
Benton,Middle-Old,"1,995",235,2017
Benton,Middle-Old,"1,995",235,2018
Benton,Middle-Old,"1,995",235,2019
Benton,Middle-Old,"1,995",235,2020
Benton,Old,829,176,2016
Benton,Old,829,176,2017
Benton,Old,829,176,2018
Benton,Old,829,176,2019
Benton,Old,829,176,2020
Benton,Old,"1,042",209,2016
Benton,Old,"1,042",209,2017
Benton,Old,"1,042",209,2018
Benton,Old,"1,042",209,2019
Benton,Old,"1,042",209,2020
Benton,Old,747,152,2016
Benton,Old,747,152,2017
Benton,Old,747,152,2018
Benton,Old,747,152,2019
Benton,Old,747,152,2020
Benton,Old,580,136,2016
Benton,Old,580,136,2017
Benton,Old,580,136,2018
Benton,Old,580,136,2019
Benton,Old,580,136,2020
Benton,Old,"1,186",182,2016
Benton,Old,"1,186",182,2017
Benton,Old,"1,186",182,2018
Benton,Old,"1,186",182,2019
Benton,Old,"1,186",182,2020
Benton,Old,878,179,2016
Benton,Old,878,179,2017
Benton,Old,878,179,2018
Benton,Old,878,179,2019
Benton,Old,878,179,2020
Benton,Old,592,160,2016
Benton,Old,592,160,2017
Benton,Old,592,160,2018
Benton,Old,592,160,2019
Benton,Old,592,160,2020
Benton,Old,714,182,2016
Benton,Old,714,182,2017
Benton,Old,714,182,2018
Benton,Old,714,182,2019
Benton,Old,714,182,2020
Black Hawk,Young,"3,360",677,2016
Black Hawk,Young,"3,360",677,2017
Black Hawk,Young,"3,360",677,2018
Black Hawk,Young,"3,360",677,2019
Black Hawk,Young,"3,360",677,2020
Black Hawk,Young,"7,533","1,059",2016
Black Hawk,Young,"7,533","1,059",2017
Black Hawk,Young,"7,533","1,059",2018
Black Hawk,Young,"7,533","1,059",2019
Black Hawk,Young,"7,533","1,059",2020
Black Hawk,Young,"9,255",145,2016
Black Hawk,Young,"9,255",145,2017
Black Hawk,Young,"9,255",145,2018
Black Hawk,Young,"9,255",145,2019
Black Hawk,Young,"9,255",145,2020
Black Hawk,Middle-Young,"7,887",240,2016
Black Hawk,Middle-Young,"7,887",240,2017
Black Hawk,Middle-Young,"7,887",240,2018
Black Hawk,Middle-Young,"7,887",240,2019
Black Hawk,Middle-Young,"7,887",240,2020
Black Hawk,Middle-Young,"8,386",618,2016
Black Hawk,Middle-Young,"8,386",618,2017
Black Hawk,Middle-Young,"8,386",618,2018
Black Hawk,Middle-Young,"8,386",618,2019
Black Hawk,Middle-Young,"8,386",618,2020
Black Hawk,Middle-Young,"6,561",624,2016
Black Hawk,Middle-Young,"6,561",624,2017
Black Hawk,Middle-Young,"6,561",624,2018
Black Hawk,Middle-Young,"6,561",624,2019
Black Hawk,Middle-Young,"6,561",624,2020
Black Hawk,Middle-Old,"6,903",195,2016
Black Hawk,Middle-Old,"6,903",195,2017
Black Hawk,Middle-Old,"6,903",195,2018
Black Hawk,Middle-Old,"6,903",195,2019
Black Hawk,Middle-Old,"6,903",195,2020
Black Hawk,Middle-Old,"6,948",138,2016
Black Hawk,Middle-Old,"6,948",138,2017
Black Hawk,Middle-Old,"6,948",138,2018
Black Hawk,Middle-Old,"6,948",138,2019
Black Hawk,Middle-Old,"6,948",138,2020
Black Hawk,Middle-Old,"7,621",634,2016
Black Hawk,Middle-Old,"7,621",634,2017
Black Hawk,Middle-Old,"7,621",634,2018
Black Hawk,Middle-Old,"7,621",634,2019
Black Hawk,Middle-Old,"7,621",634,2020
Black Hawk,Old,"2,943",396,2016
Black Hawk,Old,"2,943",396,2017
Black Hawk,Old,"2,943",396,2018
Black Hawk,Old,"2,943",396,2019
Black Hawk,Old,"2,943",396,2020
Black Hawk,Old,"5,536",639,2016
Black Hawk,Old,"5,536",639,2017
Black Hawk,Old,"5,536",639,2018
Black Hawk,Old,"5,536",639,2019
Black Hawk,Old,"5,536",639,2020
Black Hawk,Old,"2,987",422,2016
Black Hawk,Old,"2,987",422,2017
Black Hawk,Old,"2,987",422,2018
Black Hawk,Old,"2,987",422,2019
Black Hawk,Old,"2,987",422,2020
Black Hawk,Old,"4,013",544,2016
Black Hawk,Old,"4,013",544,2017
Black Hawk,Old,"4,013",544,2018
Black Hawk,Old,"4,013",544,2019
Black Hawk,Old,"4,013",544,2020
Black Hawk,Old,"5,355",526,2016
Black Hawk,Old,"5,355",526,2017
Black Hawk,Old,"5,355",526,2018
Black Hawk,Old,"5,355",526,2019
Black Hawk,Old,"5,355",526,2020
Black Hawk,Old,"4,066",505,2016
Black Hawk,Old,"4,066",505,2017
Black Hawk,Old,"4,066",505,2018
Black Hawk,Old,"4,066",505,2019
Black Hawk,Old,"4,066",505,2020
Black Hawk,Old,"2,571",468,2016
Black Hawk,Old,"2,571",468,2017
Black Hawk,Old,"2,571",468,2018
Black Hawk,Old,"2,571",468,2019
Black Hawk,Old,"2,571",468,2020
Black Hawk,Old,"2,738",447,2016
Black Hawk,Old,"2,738",447,2017
Black Hawk,Old,"2,738",447,2018
Black Hawk,Old,"2,738",447,2019
Black Hawk,Old,"2,738",447,2020
Boone,Young,544,201,2016
Boone,Young,544,201,2017
Boone,Young,544,201,2018
Boone,Young,544,201,2019
Boone,Young,544,201,2020
Boone,Young,771,227,2016
Boone,Young,771,227,2017
Boone,Young,771,227,2018
Boone,Young,771,227,2019
Boone,Young,771,227,2020
Boone,Young,"1,642",139,2016
Boone,Young,"1,642",139,2017
Boone,Young,"1,642",139,2018
Boone,Young,"1,642",139,2019
Boone,Young,"1,642",139,2020
Boone,Middle-Young,"1,592",60,2016
Boone,Middle-Young,"1,592",60,2017
Boone,Middle-Young,"1,592",60,2018
Boone,Middle-Young,"1,592",60,2019
Boone,Middle-Young,"1,592",60,2020
Boone,Middle-Young,"1,578",269,2016
Boone,Middle-Young,"1,578",269,2017
Boone,Middle-Young,"1,578",269,2018
Boone,Middle-Young,"1,578",269,2019
Boone,Middle-Young,"1,578",269,2020
Boone,Middle-Young,"1,725",290,2016
Boone,Middle-Young,"1,725",290,2017
Boone,Middle-Young,"1,725",290,2018
Boone,Middle-Young,"1,725",290,2019
Boone,Middle-Young,"1,725",290,2020
Boone,Middle-Old,"1,590",63,2016
Boone,Middle-Old,"1,590",63,2017
Boone,Middle-Old,"1,590",63,2018
Boone,Middle-Old,"1,590",63,2019
Boone,Middle-Old,"1,590",63,2020
Boone,Middle-Old,"1,717",67,2016
Boone,Middle-Old,"1,717",67,2017
Boone,Middle-Old,"1,717",67,2018
Boone,Middle-Old,"1,717",67,2019
Boone,Middle-Old,"1,717",67,2020
Boone,Middle-Old,"2,019",249,2016
Boone,Middle-Old,"2,019",249,2017
Boone,Middle-Old,"2,019",249,2018
Boone,Middle-Old,"2,019",249,2019
Boone,Middle-Old,"2,019",249,2020
Boone,Old,863,215,2016
Boone,Old,863,215,2017
Boone,Old,863,215,2018
Boone,Old,863,215,2019
Boone,Old,863,215,2020
Boone,Old,"1,147",230,2016
Boone,Old,"1,147",230,2017
Boone,Old,"1,147",230,2018
Boone,Old,"1,147",230,2019
Boone,Old,"1,147",230,2020
Boone,Old,640,163,2016
Boone,Old,640,163,2017
Boone,Old,640,163,2018
Boone,Old,640,163,2019
Boone,Old,640,163,2020
Boone,Old,"1,101",221,2016
Boone,Old,"1,101",221,2017
Boone,Old,"1,101",221,2018
Boone,Old,"1,101",221,2019
Boone,Old,"1,101",221,2020
Boone,Old,"1,049",174,2016
Boone,Old,"1,049",174,2017
Boone,Old,"1,049",174,2018
Boone,Old,"1,049",174,2019
Boone,Old,"1,049",174,2020
Boone,Old,889,162,2016
Boone,Old,889,162,2017
Boone,Old,889,162,2018
Boone,Old,889,162,2019
Boone,Old,889,162,2020
Boone,Old,519,158,2016
Boone,Old,519,158,2017
Boone,Old,519,158,2018
Boone,Old,519,158,2019
Boone,Old,519,158,2020
Boone,Old,583,139,2016
Boone,Old,583,139,2017
Boone,Old,583,139,2018
Boone,Old,583,139,2019
Boone,Old,583,139,2020
Bremer,Young,582,196,2016
Bremer,Young,582,196,2017
Bremer,Young,582,196,2018
Bremer,Young,582,196,2019
Bremer,Young,582,196,2020
Bremer,Young,906,221,2016
Bremer,Young,906,221,2017
Bremer,Young,906,221,2018
Bremer,Young,906,221,2019
Bremer,Young,906,221,2020
Bremer,Young,"1,275",78,2016
Bremer,Young,"1,275",78,2017
Bremer,Young,"1,275",78,2018
Bremer,Young,"1,275",78,2019
Bremer,Young,"1,275",78,2020
Bremer,Middle-Young,"1,303",36,2016
Bremer,Middle-Young,"1,303",36,2017
Bremer,Middle-Young,"1,303",36,2018
Bremer,Middle-Young,"1,303",36,2019
Bremer,Middle-Young,"1,303",36,2020
Bremer,Middle-Young,"1,668",202,2016
Bremer,Middle-Young,"1,668",202,2017
Bremer,Middle-Young,"1,668",202,2018
Bremer,Middle-Young,"1,668",202,2019
Bremer,Middle-Young,"1,668",202,2020
Bremer,Middle-Young,"1,420",213,2016
Bremer,Middle-Young,"1,420",213,2017
Bremer,Middle-Young,"1,420",213,2018
Bremer,Middle-Young,"1,420",213,2019
Bremer,Middle-Young,"1,420",213,2020
Bremer,Middle-Old,"1,395",35,2016
Bremer,Middle-Old,"1,395",35,2017
Bremer,Middle-Old,"1,395",35,2018
Bremer,Middle-Old,"1,395",35,2019
Bremer,Middle-Old,"1,395",35,2020
Bremer,Middle-Old,"1,412",36,2016
Bremer,Middle-Old,"1,412",36,2017
Bremer,Middle-Old,"1,412",36,2018
Bremer,Middle-Old,"1,412",36,2019
Bremer,Middle-Old,"1,412",36,2020
Bremer,Middle-Old,"1,711",196,2016
Bremer,Middle-Old,"1,711",196,2017
Bremer,Middle-Old,"1,711",196,2018
Bremer,Middle-Old,"1,711",196,2019
Bremer,Middle-Old,"1,711",196,2020
Bremer,Old,596,152,2016
Bremer,Old,596,152,2017
Bremer,Old,596,152,2018
Bremer,Old,596,152,2019
Bremer,Old,596,152,2020
Bremer,Old,790,147,2016
Bremer,Old,790,147,2017
Bremer,Old,790,147,2018
Bremer,Old,790,147,2019
Bremer,Old,790,147,2020
Bremer,Old,580,168,2016
Bremer,Old,580,168,2017
Bremer,Old,580,168,2018
Bremer,Old,580,168,2019
Bremer,Old,580,168,2020
Bremer,Old,"1,019",188,2016
Bremer,Old,"1,019",188,2017
Bremer,Old,"1,019",188,2018
Bremer,Old,"1,019",188,2019
Bremer,Old,"1,019",188,2020
Bremer,Old,"1,021",182,2016
Bremer,Old,"1,021",182,2017
Bremer,Old,"1,021",182,2018
Bremer,Old,"1,021",182,2019
Bremer,Old,"1,021",182,2020
Bremer,Old,"1,042",165,2016
Bremer,Old,"1,042",165,2017
Bremer,Old,"1,042",165,2018
Bremer,Old,"1,042",165,2019
Bremer,Old,"1,042",165,2020
Bremer,Old,577,130,2016
Bremer,Old,577,130,2017
Bremer,Old,577,130,2018
Bremer,Old,577,130,2019
Bremer,Old,577,130,2020
Bremer,Old,703,134,2016
Bremer,Old,703,134,2017
Bremer,Old,703,134,2018
Bremer,Old,703,134,2019
Bremer,Old,703,134,2020
Buchanan,Young,142,92,2016
Buchanan,Young,142,92,2017
Buchanan,Young,142,92,2018
Buchanan,Young,142,92,2019
Buchanan,Young,142,92,2020
Buchanan,Young,671,137,2016
Buchanan,Young,671,137,2017
Buchanan,Young,671,137,2018
Buchanan,Young,671,137,2019
Buchanan,Young,671,137,2020
Buchanan,Young,"1,123",66,2016
Buchanan,Young,"1,123",66,2017
Buchanan,Young,"1,123",66,2018
Buchanan,Young,"1,123",66,2019
Buchanan,Young,"1,123",66,2020
Buchanan,Middle-Young,"1,228",45,2016
Buchanan,Middle-Young,"1,228",45,2017
Buchanan,Middle-Young,"1,228",45,2018
Buchanan,Middle-Young,"1,228",45,2019
Buchanan,Middle-Young,"1,228",45,2020
Buchanan,Middle-Young,"1,331",196,2016
Buchanan,Middle-Young,"1,331",196,2017
