County,Poverty ,Year,Middle-Old,Middle-Young,Old,Young,Population,White Estimate,White ME,Black Estimate,Black ME,Native American Estimate,Native American ME,Asian Estimate,Asian ME,Pacific Estimate,Pacific ME,Other Estimate,Other ME,Two+ Estimate,Two+ ME,HighIncome,LowIncome,MidIncome
Butler,11.10,2020.00,2746.00,2429.00,4405.00,1206.00,14333.00,14100.00,67.00,122.00,58.00,25.00,14.00,82.00,59.00,12.00,16.00,29.00,23.00,138.00,87.00,617.00,924.00,2678.00
Calhoun,11.60,2016.00,1711.00,1648.00,3052.00,1010.00,9808.00,9196.00,56.00,153.00,50.00,18.00,16.00,36.00,10.00,0.00,14.00,66.00,52.00,187.00,53.00,365.00,664.00,1646.00
Calhoun,11.60,2017.00,1711.00,1648.00,3052.00,1010.00,9730.00,9196.00,56.00,153.00,50.00,18.00,16.00,36.00,10.00,0.00,14.00,66.00,52.00,187.00,53.00,365.00,664.00,1646.00
Calhoun,11.60,2018.00,1711.00,1648.00,3052.00,1010.00,9653.00,9196.00,56.00,153.00,50.00,18.00,16.00,36.00,10.00,0.00,14.00,66.00,52.00,187.00,53.00,365.00,664.00,1646.00
Calhoun,11.60,2019.00,1711.00,1648.00,3052.00,1010.00,9616.00,9196.00,56.00,153.00,50.00,18.00,16.00,36.00,10.00,0.00,14.00,66.00,52.00,187.00,53.00,365.00,664.00,1646.00
Calhoun,11.60,2020.00,1711.00,1648.00,3052.00,1010.00,9473.00,9196.00,56.00,153.00,50.00,18.00,16.00,36.00,10.00,0.00,14.00,66.00,52.00,187.00,53.00,365.00,664.00,1646.00
Carroll,7.40,2016.00,4025.00,3266.00,5487.00,2073.00,20362.00,19056.00,84.00,103.00,139.00,84.00,100.00,134.00,4.00,0.00,18.00,236.00,87.00,537.00,157.00,1132.00,1129.00,3141.00
Carroll,7.40,2017.00,4025.00,3266.00,5487.00,2073.00,20256.00,19056.00,84.00,103.00,139.00,84.00,100.00,134.00,4.00,0.00,18.00,236.00,87.00,537.00,157.00,1132.00,1129.00,3141.00
Carroll,7.40,2018.00,4025.00,3266.00,5487.00,2073.00,20101.00,19056.00,84.00,103.00,139.00,84.00,100.00,134.00,4.00,0.00,18.00,236.00,87.00,537.00,157.00,1132.00,1129.00,3141.00
Carroll,7.40,2019.00,4025.00,3266.00,5487.00,2073.00,20118.00,19056.00,84.00,103.00,139.00,84.00,100.00,134.00,4.00,0.00,18.00,236.00,87.00,537.00,157.00,1132.00,1129.00,3141.00
Carroll,7.40,2020.00,4025.00,3266.00,5487.00,2073.00,19914.00,19056.00,84.00,103.00,139.00,84.00,100.00,134.00,4.00,0.00,18.00,236.00,87.00,537.00,157.00,1132.00,1129.00,3141.00
Cass,11.20,2016.00,2520.00,2132.00,4011.00,1152.00,13198.00,12577.00,66.00,79.00,64.00,36.00,41.00,43.00,16.00,17.00,25.00,92.00,60.00,146.00,67.00,615.00,792.00,2122.00
Cass,11.20,2017.00,2520.00,2132.00,4011.00,1152.00,13155.00,12577.00,66.00,79.00,64.00,36.00,41.00,43.00,16.00,17.00,25.00,92.00,60.00,146.00,67.00,615.00,792.00,2122.00
Cass,11.20,2018.00,2520.00,2132.00,4011.00,1152.00,12959.00,12577.00,66.00,79.00,64.00,36.00,41.00,43.00,16.00,17.00,25.00,92.00,60.00,146.00,67.00,615.00,792.00,2122.00
Cass,11.20,2019.00,2520.00,2132.00,4011.00,1152.00,12822.00,12577.00,66.00,79.00,64.00,36.00,41.00,43.00,16.00,17.00,25.00,92.00,60.00,146.00,67.00,615.00,792.00,2122.00
Cass,11.20,2020.00,2520.00,2132.00,4011.00,1152.00,12817.00,12577.00,66.00,79.00,64.00,36.00,41.00,43.00,16.00,17.00,25.00,92.00,60.00,146.00,67.00,615.00,792.00,2122.00
Cedar,7.40,2016.00,3748.00,3256.00,5081.00,1686.00,18351.00,17974.00,26.00,150.00,44.00,41.00,31.00,117.00,31.00,0.00,16.00,16.00,19.00,177.00,60.00,925.00,720.00,3324.00
Cedar,7.40,2017.00,3748.00,3256.00,5081.00,1686.00,18488.00,17974.00,26.00,150.00,44.00,41.00,31.00,117.00,31.00,0.00,16.00,16.00,19.00,177.00,60.00,925.00,720.00,3324.00
Cedar,7.40,2018.00,3748.00,3256.00,5081.00,1686.00,18508.00,17974.00,26.00,150.00,44.00,41.00,31.00,117.00,31.00,0.00,16.00,16.00,19.00,177.00,60.00,925.00,720.00,3324.00
Cedar,7.40,2019.00,3748.00,3256.00,5081.00,1686.00,18541.00,17974.00,26.00,150.00,44.00,41.00,31.00,117.00,31.00,0.00,16.00,16.00,19.00,177.00,60.00,925.00,720.00,3324.00
Cedar,7.40,2020.00,3748.00,3256.00,5081.00,1686.00,18485.00,17974.00,26.00,150.00,44.00,41.00,31.00,117.00,31.00,0.00,16.00,16.00,19.00,177.00,60.00,925.00,720.00,3324.00
