"County","Year","Middle-Old","Middle-Young","Old","Young"
"Franklin",2011,2174,1766,2824,966
"Franklin",2012,2174,1766,2824,966
"Franklin",2013,2174,1766,2824,966
"Franklin",2014,2174,1766,2824,966
"Franklin",2015,2174,1766,2824,966
"Franklin",2016,1966,1671,2951,939
"Franklin",2017,1966,1671,2951,939
"Franklin",2018,1966,1671,2951,939
"Franklin",2019,1966,1671,2951,939
"Franklin",2020,1966,1671,2951,939
"Fremont",2011,1643,1124,1994,537
"Fremont",2012,1643,1124,1994,537
"Fremont",2013,1643,1124,1994,537
"Fremont",2014,1643,1124,1994,537
"Fremont",2015,1643,1124,1994,537
"Fremont",2016,1350,1125,2156,649
"Fremont",2017,1350,1125,2156,649
"Fremont",2018,1350,1125,2156,649
"Fremont",2019,1350,1125,2156,649
"Fremont",2020,1350,1125,2156,649
"Greene",2011,2002,1409,2596,814
"Greene",2012,2002,1409,2596,814
"Greene",2013,2002,1409,2596,814
"Greene",2014,2002,1409,2596,814
"Greene",2015,2002,1409,2596,814
"Greene",2016,1653,1465,2745,875
"Greene",2017,1653,1465,2745,875
"Greene",2018,1653,1465,2745,875
"Greene",2019,1653,1465,2745,875
"Greene",2020,1653,1465,2745,875
"Grundy",2011,2665,2132,3199,1077
"Grundy",2012,2665,2132,3199,1077
"Grundy",2013,2665,2132,3199,1077
"Grundy",2014,2665,2132,3199,1077
"Grundy",2015,2665,2132,3199,1077
"Grundy",2016,2389,2182,3372,1145
"Grundy",2017,2389,2182,3372,1145
"Grundy",2018,2389,2182,3372,1145
"Grundy",2019,2389,2182,3372,1145
"Grundy",2020,2389,2182,3372,1145
"Guthrie",2011,2361,1718,3098,850
"Guthrie",2012,2361,1718,3098,850
"Guthrie",2013,2361,1718,3098,850
"Guthrie",2014,2361,1718,3098,850
"Guthrie",2015,2361,1718,3098,850
"Guthrie",2016,2186,1697,3244,808
"Guthrie",2017,2186,1697,3244,808
"Guthrie",2018,2186,1697,3244,808
"Guthrie",2019,2186,1697,3244,808
"Guthrie",2020,2186,1697,3244,808
"Hamilton",2011,3292,2726,3980,1341
"Hamilton",2012,3292,2726,3980,1341
"Hamilton",2013,3292,2726,3980,1341
"Hamilton",2014,3292,2726,3980,1341
"Hamilton",2015,3292,2726,3980,1341
"Hamilton",2016,3072,2613,4061,1408
"Hamilton",2017,3072,2613,4061,1408
"Hamilton",2018,3072,2613,4061,1408
"Hamilton",2019,3072,2613,4061,1408
"Hamilton",2020,3072,2613,4061,1408
"Hancock",2011,2504,1803,2999,880
"Hancock",2012,2504,1803,2999,880
"Hancock",2013,2504,1803,2999,880
"Hancock",2014,2504,1803,2999,880
"Hancock",2015,2504,1803,2999,880
"Hancock",2016,2210,1780,3069,1101
"Hancock",2017,2210,1780,3069,1101
"Hancock",2018,2210,1780,3069,1101
"Hancock",2019,2210,1780,3069,1101
"Hancock",2020,2210,1780,3069,1101
"Hardin",2011,3720,2800,4888,1511
"Hardin",2012,3720,2800,4888,1511
"Hardin",2013,3720,2800,4888,1511
"Hardin",2014,3720,2800,4888,1511
"Hardin",2015,3720,2800,4888,1511
"Hardin",2016,3307,2791,5062,1519
"Hardin",2017,3307,2791,5062,1519
"Hardin",2018,3307,2791,5062,1519
"Hardin",2019,3307,2791,5062,1519
"Hardin",2020,3307,2791,5062,1519
"Harrison",2011,3295,2410,3696,1240
"Harrison",2012,3295,2410,3696,1240
"Harrison",2013,3295,2410,3696,1240
"Harrison",2014,3295,2410,3696,1240
"Harrison",2015,3295,2410,3696,1240
"Harrison",2016,2949,2353,3813,1418
"Harrison",2017,2949,2353,3813,1418
"Harrison",2018,2949,2353,3813,1418
"Harrison",2019,2949,2353,3813,1418
